"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048699","generation of neurons","136/750","1514/18723",1.06732146613836e-19,5.74325680929053e-16,4.28726180503578e-16,"4193/4131/23654/9448/55754/7832/4808/4747/85407/7157/11075/4133/655/3670/6091/150465/1809/387119/10512/11113/581/1969/55636/57556/5597/8522/26508/7042/639/2043/5364/26012/374/54897/2047/26999/2115/3984/81565/3084/50944/3714/8437/23440/1952/7408/55502/5270/2119/7204/1000/3397/157285/26011/3688/3398/1641/9742/30812/627/8609/50807/4009/1902/5538/482/23017/3798/4851/3949/4897/57498/10565/28996/26227/9620/9139/3371/92211/7046/9334/285313/3624/282991/9572/6860/10152/4685/23242/7345/7532/56896/8826/56963/10611/25861/558/5925/57609/9922/4884/204851/6422/3655/257194/8828/27242/84623/23768/5015/5176/4909/3730/6801/1956/10938/5414/7431/54437/2288/816/5997/7520/6857/6469/23462/23022/7804/8408/2668/4744/5396/387/66008/6929/1021",136
"GO:0022008","neurogenesis","142/750","1632/18723",2.49944314965152e-19,6.72475179413742e-16,5.0199342416159e-16,"4193/4131/23654/9448/55754/7832/4808/4747/85407/7157/11075/4133/655/3670/6091/150465/1809/387119/10512/11113/581/1969/55636/57556/5597/8522/26508/7042/639/2043/5364/26012/374/54897/2047/26999/2115/3984/81565/3084/50944/3714/8437/23440/1952/7408/55502/5270/2119/7204/1000/6605/3397/157285/26011/3688/3398/1641/9742/30812/627/8609/50807/4009/1902/5538/482/23017/25777/3798/4851/2817/3949/4897/57498/10565/28996/26227/9620/9139/3371/92211/7046/9334/5179/285313/3624/282991/9572/6860/10152/4685/23242/7345/7532/56896/8826/56963/10611/25861/558/5925/57609/9922/4884/204851/6422/3655/257194/8828/27242/84623/55553/23768/5015/5176/10397/4909/3730/6801/1956/10938/5414/7431/54437/2288/816/5997/7520/6857/6469/23462/23022/7804/8408/2668/4744/5396/387/66008/6929/1021",142
"GO:0000902","cell morphogenesis","101/750","988/18723",1.93695998815913e-18,3.47426056542809e-15,2.59348747888254e-15,"4131/23654/9448/10763/4747/4133/655/1306/3670/6091/150465/10512/1969/57556/8522/7042/56882/2043/11149/5364/26012/152503/2047/26999/2115/3984/2195/81565/4627/3084/50848/50944/8437/1952/7408/87/960/7204/1000/3397/157285/3688/30011/627/8609/4009/1902/3798/4851/4897/57498/3988/79834/54751/92211/2192/9334/388/81848/6860/10152/84168/116985/23242/10163/7345/56896/8826/56963/10611/25861/8516/558/5925/57609/57619/4884/8828/10602/84623/23768/5015/6781/4909/9733/3730/1956/54437/816/440193/55437/6857/6469/1955/23022/7804/8408/2668/4744/387/66008",101
"GO:0009888","tissue development","150/750","1870/18723",3.45371832955851e-17,4.48174046949939e-14,3.34555729841053e-14,"4193/1026/23654/60401/7832/85407/7157/595/1134/655/1306/3670/6091/144455/10512/581/26154/1969/55636/57556/4254/26508/7042/9517/57103/10628/639/2043/427/6443/11173/11149/1909/374/2047/2195/3084/50848/3714/6382/1952/7408/5613/8614/1282/5270/960/1000/54084/231/3397/2308/26011/3688/3398/9742/30812/8609/1747/255743/10324/4880/3164/1846/65979/4851/7139/8549/2817/5743/7298/4097/26227/9620/4232/768/9139/3371/7046/388/6262/3624/5054/221662/4868/10152/9759/1303/23242/89/2885/5447/1832/7178/5251/59/8826/56963/79987/10611/55959/25861/8516/5925/1284/23002/10468/1266/6840/57619/6422/11214/3655/9555/2012/139285/8828/6386/7045/55553/6781/93185/4909/85477/1956/7431/54437/488/1508/22856/9686/5997/440193/1958/6469/7296/23462/1955/399473/23022/57538/9622/200734/2668/342184/5396/387/64434/5111/1021",150
"GO:0030182","neuron differentiation","121/750","1363/18723",4.16441225562107e-17,4.48174046949939e-14,3.34555729841053e-14,"4193/4131/23654/9448/55754/7832/4808/4747/85407/11075/4133/655/3670/6091/150465/1809/10512/1969/57556/5597/8522/26508/7042/639/2043/5364/26012/374/54897/2047/26999/2115/3984/81565/3084/50944/3714/8437/23440/1952/7408/2119/7204/1000/3397/157285/26011/3688/3398/1641/9742/30812/627/8609/50807/4009/1902/5538/482/23017/3798/4851/4897/57498/10565/28996/26227/9139/3371/92211/7046/9334/3624/282991/6860/10152/4685/23242/7345/7532/56896/8826/56963/10611/25861/5925/57609/9922/4884/204851/6422/3655/257194/8828/27242/84623/23768/5015/5176/4909/3730/6801/1956/10938/7431/54437/2288/816/5997/6857/6469/23462/23022/7804/8408/2668/4744/5396/387/66008/6929",121
"GO:0031175","neuron projection development","96/750","963/18723",7.95263739716325e-17,7.13219030568924e-14,5.32408145746929e-14,"4193/4131/23654/9448/55754/7832/4747/11075/4133/655/3670/6091/150465/1809/10512/1969/57556/5597/8522/2043/5364/26012/374/2047/26999/2115/3984/81565/50944/8437/1952/7408/7204/1000/3397/157285/3688/627/8609/50807/4009/1902/482/3798/4851/4897/57498/10565/26227/9139/3371/9334/282991/6860/10152/4685/23242/7345/56896/8826/56963/10611/25861/5925/57609/9922/4884/6422/3655/257194/8828/27242/84623/23768/5015/5176/4909/3730/6801/1956/10938/7431/54437/2288/816/5997/6857/6469/23022/7804/8408/2668/4744/5396/387/66008",96
"GO:0048666","neuron development","104/750","1104/18723",1.78755818258039e-16,1.35943028933324e-13,1.01479591625419e-13,"4193/4131/23654/9448/55754/7832/4808/4747/11075/4133/655/3670/6091/150465/1809/10512/1969/57556/5597/8522/7042/639/2043/5364/26012/374/2047/26999/2115/3984/81565/50944/8437/1952/7408/7204/1000/3397/157285/26011/3688/1641/9742/627/8609/50807/4009/1902/5538/482/3798/4851/4897/57498/10565/26227/9139/3371/92211/9334/282991/6860/10152/4685/23242/7345/56896/8826/56963/10611/25861/5925/57609/9922/4884/6422/3655/257194/8828/27242/84623/23768/5015/5176/4909/3730/6801/1956/10938/7431/54437/2288/816/5997/6857/6469/23022/7804/8408/2668/4744/5396/387/66008",104
"GO:0120036","plasma membrane bounded cell projection organization","126/750","1478/18723",2.02108201350416e-16,1.35943028933324e-13,1.01479591625419e-13,"4193/4131/23654/9448/55754/7832/4747/1012/11075/4133/655/3670/6091/150465/1809/10512/25914/1969/57556/64787/5597/8522/2043/22919/3983/5364/26012/374/2047/26999/2115/3984/81565/4627/50944/9114/8437/1952/7408/960/7204/1000/3397/157285/3688/1641/9742/627/8609/50807/4009/1902/482/3798/4851/4897/5580/57498/10565/26227/9139/3371/7046/85461/9334/282991/6860/10152/9759/54874/4685/116985/23242/10163/7345/56896/139818/9371/7410/8826/56963/10611/25861/5925/57609/9922/4884/6422/3655/257194/2012/3985/8828/6386/10602/27242/84623/23768/5015/5176/4909/3730/6801/1956/10938/7431/54437/2288/63917/478/816/5997/22920/221178/6857/6469/23022/7804/8408/2668/4744/11190/5396/387/140735/66008",126
"GO:0030030","cell projection organization","128/750","1522/18723",3.23378612580123e-16,1.9334447936596e-13,1.44328980772602e-13,"4193/4131/23654/9448/10763/55754/7832/4747/1012/11075/4133/655/3670/6091/150465/1809/10512/25914/1969/57556/64787/5597/8522/2043/22919/3983/5364/26012/374/2047/26999/2115/3984/81565/4627/50944/9114/8437/1952/7408/960/7204/1000/3397/157285/3688/1641/9742/627/8609/50807/4009/1902/482/3798/4851/4897/5580/57498/10565/26227/9139/3371/7046/85461/9334/282991/6860/10152/9759/54874/4685/116985/23242/10163/7345/56896/139818/9371/7410/8826/56963/10611/25861/5925/57609/9922/4884/6422/3655/257194/2012/3985/8828/6386/10602/27242/84623/23768/5015/5176/4909/85477/3730/6801/1956/10938/7431/54437/2288/63917/478/816/5997/22920/221178/6857/6469/23022/7804/8408/2668/4744/11190/5396/387/140735/66008",128
"GO:0032989","cellular component morphogenesis","79/750","744/18723",1.80364884339698e-15,9.70543442631917e-13,7.2449726172662e-13,"4131/23654/9448/10763/4747/4133/655/3670/6091/150465/10512/581/1969/57556/8522/287/2043/5364/26012/2047/26999/2115/3984/81565/50944/8437/1952/7408/960/7204/1000/3397/26011/3688/627/8609/10324/4009/3798/4851/7139/2817/4897/57498/9334/84033/6860/10152/23242/10163/7345/56896/8826/56963/10611/57609/4884/64753/11214/8828/84623/598/23768/64645/5015/4909/3730/1956/54437/816/6857/6469/23022/7804/8408/2668/4744/387/66008",79
