"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048699","generation of neurons","31/142","1514/18723",2.76298234491888e-07,0.00044644205610146,0.000378277463980355,"23462/4884/26508/8609/7804/816/150465/6860/7345/3714/1021/11075/285313/1641/57556/10938/3798/27242/5396/81565/8437/23768/3371/50944/10152/5015/92211/4685/3670/9334/204851",31
"GO:0030182","neuron differentiation","29/142","1363/18723",3.2984267166713e-07,0.00044644205610146,0.000378277463980355,"23462/4884/26508/8609/7804/816/150465/6860/7345/3714/11075/1641/57556/10938/3798/27242/5396/81565/8437/23768/3371/50944/10152/5015/92211/4685/3670/9334/204851",29
"GO:0048666","neuron development","25/142","1104/18723",7.98965577336389e-07,0.000515046342471036,0.000436406968383873,"4884/8609/7804/816/150465/6860/7345/11075/1641/57556/10938/3798/27242/5396/81565/8437/23768/3371/50944/10152/5015/92211/4685/3670/9334",25
"GO:0031175","neuron projection development","23/142","963/18723",9.50863527514447e-07,0.000515046342471036,0.000436406968383873,"4884/8609/7804/816/150465/6860/7345/11075/57556/10938/3798/27242/5396/81565/8437/23768/3371/50944/10152/5015/4685/3670/9334",23
"GO:0099536","synaptic signaling","20/142","748/18723",9.51323129795042e-07,0.000515046342471036,0.000436406968383873,"9094/4884/2982/7804/9783/55638/816/6860/2899/1821/9746/3798/4885/50944/1143/5743/2890/23208/2563/2149",20
"GO:0022008","neurogenesis","31/142","1632/18723",1.39516306844748e-06,0.000579090275509859,0.000490672412784004,"23462/4884/26508/8609/7804/816/150465/6860/7345/3714/1021/11075/285313/1641/57556/10938/3798/27242/5396/81565/8437/23768/3371/50944/10152/5015/92211/4685/3670/9334/204851",31
"GO:0098911","regulation of ventricular cardiac muscle cell action potential","4/142","12/18723",1.49746284764278e-06,0.000579090275509859,0.000490672412784004,"775/3728/1832/6262",4
"GO:0007268","chemical synaptic transmission","19/142","716/18723",2.04137258395408e-06,0.000613999509418188,0.000520251562624086,"9094/4884/2982/7804/9783/55638/816/6860/2899/9746/3798/4885/50944/1143/5743/2890/23208/2563/2149",19
"GO:0098916","anterograde trans-synaptic signaling","19/142","716/18723",2.04137258395408e-06,0.000613999509418188,0.000520251562624086,"9094/4884/2982/7804/9783/55638/816/6860/2899/9746/3798/4885/50944/1143/5743/2890/23208/2563/2149",19
"GO:0099537","trans-synaptic signaling","19/142","724/18723",2.40172212653842e-06,0.000650146179653949,0.000550879211971285,"9094/4884/2982/7804/9783/55638/816/6860/2899/9746/3798/4885/50944/1143/5743/2890/23208/2563/2149",19
"GO:0048667","cell morphogenesis involved in neuron differentiation","16/142","544/18723",3.84186738931369e-06,0.000853376596437817,0.00072307958067311,"4884/8609/7804/816/150465/7345/57556/3798/81565/23768/50944/10152/5015/92211/3670/9334",16
"GO:0048812","neuron projection morphogenesis","17/142","615/18723",4.30044034098393e-06,0.000853376596437817,0.00072307958067311,"4884/8609/7804/816/150465/6860/7345/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334",17
"GO:0050808","synapse organization","14/142","426/18723",4.57569642415494e-06,0.000853376596437817,0.00072307958067311,"7804/55638/816/9806/1821/7846/9746/57633/8404/23768/3371/50944/10152/2149",14
"GO:0007267","cell-cell signaling","30/142","1641/18723",4.66016126336419e-06,0.000853376596437817,0.00072307958067311,"9094/4884/2982/8609/7804/9783/55638/5122/816/6860/2899/1821/23002/9746/775/3798/3728/4885/27230/3371/50944/1143/9547/3670/5743/2890/23208/2563/2149/6262",30
"GO:0000904","cell morphogenesis involved in differentiation","18/142","694/18723",5.32696137668524e-06,0.000853376596437817,0.00072307958067311,"4884/8609/7804/816/8516/150465/7345/57556/3798/6781/81565/23768/50944/10152/5015/92211/3670/9334",18
"GO:0086004","regulation of cardiac muscle cell contraction","5/142","34/18723",5.45027401257968e-06,0.000853376596437817,0.00072307958067311,"775/3728/6781/1832/6262",5
"GO:0006937","regulation of muscle contraction","9/142","169/18723",5.74969169382686e-06,0.000853376596437817,0.00072307958067311,"2982/3778/775/3728/6781/5743/2149/1832/6262",9
"GO:0120039","plasma membrane bounded cell projection morphogenesis","17/142","630/18723",5.91368628267556e-06,0.000853376596437817,0.00072307958067311,"4884/8609/7804/816/150465/6860/7345/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334",17
"GO:0048858","cell projection morphogenesis","17/142","634/18723",6.42708892156359e-06,0.000853376596437817,0.00072307958067311,"4884/8609/7804/816/150465/6860/7345/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334",17
"GO:0050804","modulation of chemical synaptic transmission","14/142","439/18723",6.45103012988173e-06,0.000853376596437817,0.00072307958067311,"4884/7804/9783/55638/816/6860/2899/9746/4885/50944/1143/5743/2890/23208",14
"GO:0099177","regulation of trans-synaptic signaling","14/142","440/18723",6.62021002038942e-06,0.000853376596437817,0.00072307958067311,"4884/7804/9783/55638/816/6860/2899/9746/4885/50944/1143/5743/2890/23208",14
"GO:0044057","regulation of system process","16/142","580/18723",8.61366982232899e-06,0.00105987291859293,0.00089804720300741,"4884/2982/816/478/3778/775/27242/3728/6781/4885/50944/3670/5743/2149/1832/6262",16
"GO:0032990","cell part morphogenesis","17/142","652/18723",9.26892399803297e-06,0.00109091205489892,0.000924347157515507,"4884/8609/7804/816/150465/6860/7345/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334",17
"GO:1903115","regulation of actin filament-based movement","5/142","39/18723",1.09391389018957e-05,0.00123384370864299,0.00104545542400135,"775/3728/6781/1832/6262",5
"GO:0061564","axon development","14/142","467/18723",1.29613607574013e-05,0.00140345614281141,0.00118917074064747,"4884/8609/150465/7345/57556/3798/27242/81565/23768/3371/5015/4685/3670/9334",14
"GO:0032989","cellular component morphogenesis","18/142","744/18723",1.3719312761264e-05,0.00142839152479776,0.00121029888691475,"4884/8609/7804/816/150465/6860/7345/84033/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334",18
"GO:0000902","cell morphogenesis","21/142","988/18723",1.77472114157531e-05,0.00177932227046087,0.00150764809648834,"4884/8609/7804/816/8516/150465/6860/7345/57556/3798/6781/81565/8437/23768/50944/10152/5015/3988/92211/3670/9334",21
"GO:0034330","cell junction organization","17/142","694/18723",2.07056488921336e-05,0.00200179255539306,0.00169615071187816,"7804/55638/816/9806/1821/7846/9746/57633/3728/8404/23768/3371/50944/10152/2149/1832/204851",17
"GO:0090257","regulation of muscle system process","10/142","252/18723",2.28947245336105e-05,0.00213710411422357,0.00181080235058937,"2982/816/3778/775/3728/6781/5743/2149/1832/6262",10
"GO:0042391","regulation of membrane potential","13/142","434/18723",2.70225227491013e-05,0.00243833230272724,0.00206603779194006,"9783/478/2899/3778/775/3728/6648/50944/1143/2890/2563/1832/6262",13
"GO:0090066","regulation of anatomical structure size","14/142","518/18723",4.05925436619519e-05,0.00354464566751302,0.00300343472459739,"2982/163782/150465/7114/6711/57556/3778/81565/6648/1909/10152/5743/2149/2885",14
"GO:0120036","plasma membrane bounded cell projection organization","26/142","1478/18723",4.37418267918984e-05,0.00361467973560931,0.00306277570582804,"4884/8609/7804/221178/816/478/150465/6860/7345/11075/1641/57556/10938/3798/27242/5396/81565/8437/23768/3371/50944/10152/5015/4685/3670/9334",26
"GO:0098901","regulation of cardiac muscle cell action potential","4/142","27/18723",4.85973943591176e-05,0.00361467973560931,0.00306277570582804,"775/3728/1832/6262",4
"GO:0032253","dense core granule localization","3/142","10/18723",4.92946522603454e-05,0.00361467973560931,0.00306277570582804,"55638/6860/3798",3
