"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007267","cell-cell signaling","36/136","1641/18723",1.05503471204334e-09,2.61754112057954e-06,2.13339124403712e-06,"6860/7532/287/3084/6857/2563/3798/8609/23208/9746/1363/55638/50944/2899/1952/2782/4131/26045/5122/65268/27230/139285/2149/57497/3371/5743/5865/775/2982/154810/1958/8792/22829/3749/55333/7091",36
"GO:0050808","synapse organization","17/136","426/18723",1.3222166322642e-08,1.64020973232375e-05,1.33683060556818e-05,"4897/4747/57633/9806/3084/9746/55638/7846/50944/4131/26045/1282/2149/8404/57497/3371/22829",17
"GO:0099536","synaptic signaling","22/136","748/18723",2.19087541202326e-08,1.81185396574323e-05,1.47672690052515e-05,"6860/7532/3084/6857/2563/3798/23208/9746/55638/50944/2899/2782/4131/26045/2149/57497/5743/5865/2982/22829/3749/55333",22
"GO:0034330","cell junction organization","20/136","694/18723",1.43059327825388e-07,8.87325480836972e-05,7.23202549348872e-05,"4897/4747/57633/9806/287/3084/9746/55638/7846/50944/4131/26045/1282/2149/8404/57497/3371/7042/50848/22829",20
"GO:0007268","chemical synaptic transmission","20/136","716/18723",2.35694605866112e-07,9.74597195256372e-05,7.9433217169965e-05,"6860/7532/6857/2563/3798/23208/9746/55638/50944/2899/4131/26045/2149/57497/5743/5865/2982/22829/3749/55333",20
"GO:0098916","anterograde trans-synaptic signaling","20/136","716/18723",2.35694605866112e-07,9.74597195256372e-05,7.9433217169965e-05,"6860/7532/6857/2563/3798/23208/9746/55638/50944/2899/4131/26045/2149/57497/5743/5865/2982/22829/3749/55333",20
"GO:0099537","trans-synaptic signaling","20/136","724/18723",2.81236393126779e-07,9.96782130496485e-05,8.12413701047433e-05,"6860/7532/6857/2563/3798/23208/9746/55638/50944/2899/4131/26045/2149/57497/5743/5865/2982/22829/3749/55333",20
"GO:0032253","dense core granule localization","4/136","10/18723",5.40693752780885e-07,0.000134146120064938,0.000109333968325482,"6860/4133/3798/55638",4
"GO:0099519","dense core granule cytoskeletal transport","4/136","10/18723",5.40693752780885e-07,0.000134146120064938,0.000109333968325482,"6860/4133/3798/55638",4
"GO:1901950","dense core granule transport","4/136","10/18723",5.40693752780885e-07,0.000134146120064938,0.000109333968325482,"6860/4133/3798/55638",4
"GO:0051049","regulation of transport","32/136","1759/18723",8.42035257891677e-07,0.000189917224984477,0.000154789447886116,"6860/4133/376267/287/3084/6857/8609/3757/23208/55638/124930/51308/50944/9943/4131/10079/26045/65268/27230/3778/2149/1778/23704/7042/10776/5743/5865/55754/476/775/8792/3749",32
"GO:0030705","cytoskeleton-dependent intracellular transport","10/136","195/18723",1.62612515948655e-06,0.000328384207730273,0.000267645076497106,"6860/4133/4747/3798/54874/7345/55638/7846/4131/1778",10
"GO:0032252","secretory granule localization","4/136","13/18723",1.8099946082979e-06,0.000328384207730273,0.000267645076497106,"6860/4133/3798/55638",4
"GO:0032989","cellular component morphogenesis","19/136","744/18723",1.85303462645055e-06,0.000328384207730273,0.000267645076497106,"56896/6860/4133/4897/4747/287/11214/6857/3798/84033/8609/150465/7345/50944/1952/4131/10324/26999/57498",19
"GO:0051056","regulation of small GTPase mediated signal transduction","12/136","302/18723",2.12937653103939e-06,0.000352198878233916,0.00028705489937731,"55379/11214/3084/84033/81848/57221/1795/2149/9901/7042/10776/50848",12
"GO:0072384","organelle transport along microtubule","7/136","85/18723",2.81406116729335e-06,0.000436355359753424,0.000355645493577008,"4133/4747/3798/7345/55638/4131/1778",7
"GO:0007264","small GTPase mediated signal transduction","15/136","502/18723",3.80805860096711e-06,0.000555752552294082,0.000452958549378193,"55379/376267/11214/3084/84033/81848/57221/2782/1795/2149/9901/7042/10776/5900/50848",15
"GO:0030029","actin filament-based process","19/136","798/18723",5.12567037513971e-06,0.000706488233373424,0.000575813613487917,"287/1809/11214/84033/3757/6711/57482/54874/57221/50944/10324/26999/23704/55561/476/775/154810/50848/2919",19
"GO:0046579","positive regulation of Ras protein signal transduction","6/136","64/18723",6.97628851248433e-06,0.00086540858997368,0.000705339485920126,"55379/11214/3084/2149/10776/50848",6
