"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048729","tissue morphogenesis","8/35","610/18723",1.31020800936925e-05,0.0175330589786029,0.0139744738078096,"8549/3670/255743/6091/3714/59/55636/8516",8
"GO:0000904","cell morphogenesis involved in differentiation","8/35","694/18723",3.31332635314004e-05,0.0175330589786029,0.0139744738078096,"92211/5015/4744/3670/816/66008/6091/8516",8
"GO:0003279","cardiac septum development","4/35","103/18723",3.96668725973883e-05,0.0175330589786029,0.0139744738078096,"3670/639/6091/55636",4
"GO:0048667","cell morphogenesis involved in neuron differentiation","7/35","544/18723",5.57561877963547e-05,0.0175330589786029,0.0139744738078096,"92211/5015/4744/3670/816/66008/6091",7
"GO:0048699","generation of neurons","11/35","1514/18723",6.29779417334874e-05,0.0175330589786029,0.0139744738078096,"92211/5015/4744/3670/816/639/66008/6091/27242/3714/55636",11
"GO:0003231","cardiac ventricle development","4/35","123/18723",7.9323284159333e-05,0.0178300044837815,0.0142111499742179,"3670/639/6091/55636",4
"GO:0045747","positive regulation of Notch signaling pathway","3/35","47/18723",9.17127349695234e-05,0.0178300044837815,0.0142111499742179,"4242/6091/3714",3
"GO:0072132","mesenchyme morphogenesis","3/35","52/18723",0.000124200930352199,0.0178300044837815,0.0142111499742179,"3670/6091/59",3
"GO:0022008","neurogenesis","11/35","1632/18723",0.000124351684385509,0.0178300044837815,0.0142111499742179,"92211/5015/4744/3670/816/639/66008/6091/27242/3714/55636",11
"GO:0030182","neuron differentiation","10/35","1363/18723",0.000137681903218148,0.0178300044837815,0.0142111499742179,"92211/5015/4744/3670/816/639/66008/6091/27242/3714",10
"GO:0048666","neuron development","9/35","1104/18723",0.000145985568698923,0.0178300044837815,0.0142111499742179,"92211/5015/4744/3670/816/639/66008/6091/27242",9
"GO:0035904","aorta development","3/35","58/18723",0.000172082570556549,0.0178300044837815,0.0142111499742179,"639/6091/55636",3
"GO:0006182","cGMP biosynthetic process","2/35","11/18723",0.000184751506743032,0.0178300044837815,0.0142111499742179,"2977/2982",2
"GO:0061564","axon development","6/35","467/18723",0.000204746070757439,0.0178300044837815,0.0142111499742179,"5015/4744/3670/66008/6091/27242",6
"GO:0048934","peripheral nervous system neuron differentiation","2/35","12/18723",0.000221441526524364,0.0178300044837815,0.0142111499742179,"4744/3670",2
"GO:0048935","peripheral nervous system neuron development","2/35","12/18723",0.000221441526524364,0.0178300044837815,0.0142111499742179,"4744/3670",2
"GO:0003205","cardiac chamber development","4/35","161/18723",0.000224041197065152,0.0178300044837815,0.0142111499742179,"3670/639/6091/55636",4
"GO:0072001","renal system development","5/35","302/18723",0.00023056040280752,0.0178300044837815,0.0142111499742179,"8549/255743/639/59/8516",5
"GO:0060411","cardiac septum morphogenesis","3/35","68/18723",0.00027594136448939,0.0202163357562753,0.0161131411729538,"3670/6091/55636",3
"GO:0000902","cell morphogenesis","8/35","988/18723",0.000384313167709993,0.0256667378169504,0.0204573061547684,"92211/5015/4744/3670/816/66008/6091/8516",8
"GO:0001655","urogenital system development","5/35","338/18723",0.000387213717066062,0.0256667378169504,0.0204573061547684,"8549/255743/639/59/8516",5
"GO:0046068","cGMP metabolic process","2/35","17/18723",0.000453632354753177,0.0287025562643829,0.0228769618138684,"2977/2982",2
"GO:0003128","heart field specification","2/35","18/18723",0.000509737643350013,0.0308502086757921,0.0245887174412318,"3670/6091",2
"GO:0003215","cardiac right ventricle morphogenesis","2/35","20/18723",0.00063152328188647,0.0357576820434427,0.0285001488761257,"3670/55636",2
"GO:0044057","regulation of system process","6/35","580/18723",0.000649904847228928,0.0357576820434427,0.0285001488761257,"8912/3670/255743/816/2982/27242",6
"GO:0008593","regulation of Notch signaling pathway","3/35","95/18723",0.00073626263645383,0.0357576820434427,0.0285001488761257,"4242/6091/3714",3
"GO:0010647","positive regulation of cell communication","10/35","1681/18723",0.000749387620691278,0.0357576820434427,0.0285001488761257,"2977/8549/3670/255743/4242/6091/55765/2982/1030/3714",10
"GO:0009190","cyclic nucleotide biosynthetic process","2/35","22/18723",0.000765999444760859,0.0357576820434427,0.0285001488761257,"2977/2982",2
"GO:0052652","cyclic purine nucleotide metabolic process","2/35","22/18723",0.000765999444760859,0.0357576820434427,0.0285001488761257,"2977/2982",2
"GO:0023056","positive regulation of signaling","10/35","1687/18723",0.000770639699212127,0.0357576820434427,0.0285001488761257,"2977/8549/3670/255743/4242/6091/55765/2982/1030/3714",10
"GO:0060384","innervation","2/35","23/18723",0.000837967999363677,0.0371770448679345,0.0296314317081088,"3670/55636",2
"GO:0060840","artery development","3/35","100/18723",0.000854644709607691,0.0371770448679345,0.0296314317081088,"639/6091/55636",3
"GO:0048812","neuron projection morphogenesis","6/35","615/18723",0.000882642979123704,0.0372314856648544,0.0296748229663918,"5015/4744/3670/816/66008/6091",6
"GO:0003148","outflow tract septum morphogenesis","2/35","24/18723",0.000913075075692625,0.0373823678048275,0.0297950814173383,"3670/6091",2
"GO:0062009","secondary palate development","2/35","25/18723",0.000991309365092305,0.0378592544943248,0.0301751771302316,"3714/55636",2
"GO:0120039","plasma membrane bounded cell projection morphogenesis","6/35","630/18723",0.00100020697478091,0.0378592544943248,0.0301751771302316,"5015/4744/3670/816/66008/6091",6
