run	nodes	geneid	community
1	711	CEMIP2	2
1	711	SORCS2	2
1	711	NTF4	2
1	711	STK32C	1
1	711	LRP8	1
1	711	PGM2L1	1
1	711	TMEM169	1
1	711	H1-0	1
1	711	KANK4	1
1	711	GUCY1A1	1
1	711	KLF6	1
1	711	LAMA4	1
1	711	NPTX1	1
1	711	ABCA12	2
1	711	ANKRD45	2
1	711	MLXIPL	2
1	711	CASZ1	2
1	711	SNAP47	2
1	711	MUC19	2
1	711	IGFBP3	1
1	711	DHRS2	2
1	711	SYBU	1
1	711	NPPC	1
1	711	LINC02303	2
1	711	ATF7IP	2
1	711	ATP6V1C1	1
1	711	H2BC21	1
1	711	LMX1A	1
1	711	TACC1	1
1	711	KCNE4	1
1	711	SLAIN1	1
1	711	HEYL	1
1	711	UNC119	1
1	711	PEG10	5
1	711	KCNH2	5
1	711	HEY1	1
1	711	ADAMTS17	1
1	711	PINCR	2
1	711	IP6K3	2
1	711	ITGA8	1
1	711	PPIF	1
1	711	SCG2	5
1	711	SOBP	1
1	711	SYT4	1
1	711	NOS1AP	2
1	711	SYN2	5
1	711	CDHR1	1
1	711	RRAD	2
1	711	SBF2	2
1	711	ADGRA1	1
1	711	MT1F	1
1	711	ARHGAP26	1
1	711	TPD52L1	1
1	711	AREG	2
1	711	LARP1	1
1	711	PHGDH	1
1	711	RCAN2	1
1	711	PCSK1	1
1	711	PRAG1	2
1	711	TNRC6C	2
1	711	PLEKHD1	2
1	711	FMN1	2
1	711	TGFB2	5
1	711	SPATS2L	1
1	711	PRUNE2	5
1	711	RGS3	1
1	711	SLC16A10	2
1	711	LINC02334	2
1	711	RIMS3	1
1	711	NIPA1	1
1	711	GUCY1A2	1
1	711	PRR35	1
1	711	EHD1	1
1	711	JAG2	1
1	711	SPHKAP	1
1	711	NEFH	1
1	711	CAMK2B	1
1	711	CELSR2	5
1	711	WNK2	5
1	711	DPYSL5	5
1	711	FAM171B	1
1	711	ZNF195	2
1	711	GRIK3	1
1	711	STC1	1
1	711	E2F7	2
1	711	NR1D1	1
1	711	PPFIA4	1
1	711	KLRF2	2
1	711	IGDCC3	1
1	711	NCR3LG1	2
1	711	IGFBPL1	1
1	711	B4GALNT4	1
1	711	TXNIP	1
1	711	ST6GALNAC5	1
1	711	EEF1A2	1
1	711	CCDC88B	1
1	711	SOD2	1
1	711	GRIA4	1
1	711	ZHX1	1
1	711	LRRC8D	1
1	711	CPE	5
1	711	SERP1	1
1	711	NOTCH1	2
1	711	FSD1	1
1	711	SPATA13	1
1	711	CLSTN3	5
1	711	NACC2	2
1	711	RMST	5
1	711	GRP	1
1	711	KLF7	5
1	711	HSPA4L	2
1	711	KIF21B	5
1	711	MAP2	5
1	711	ANK2	5
1	711	COL4A2	5
1	711	COL4A1	5
1	711	CEBPA	1
1	711	CERS5	2
1	711	DAAM1	1
1	711	STMN2	1
1	711	ST18	5
1	711	ANKRD52	1
1	711	ADAMTS4	1
1	711	FLRT2	1
1	711	MEST	1
1	711	TNKS2	2
1	711	TSPOAP1	1
1	711	CMBL	2
1	711	TMEM131	2
1	711	ZNF510	1
1	711	PRKX	2
1	711	NPTX2	1
1	711	IGSF3	5
1	711	ABI2	1
1	711	TRIM72	5
1	711	SOGA3	5
1	711	TMSB4X	1
1	711	GPR107	1
1	711	DHCR7	1
1	711	SYT11	5
1	711	TMEM130	1
1	711	OBSCN	1
1	711	TNFRSF21	1
1	711	UCHL1	5
1	711	ASAH1	1
1	711	MFNG	1
1	711	PURPL	2
1	711	TNFRSF11A	5
1	711	TRIM2	5
1	711	OIP5-AS1	1
1	711	INAVA	1
1	711	GNA12	1
1	711	CACNA1H	1
1	711	DGKH	1
1	711	IFT140	1
1	711	TENT5A	5
1	711	PSME4	2
1	711	MMP1	1
1	711	EPHA2	2
1	711	COL15A1	5
1	711	NDEL1	1
1	711	SIPA1L2	2
1	711	GABRD	1
1	711	NFATC3	2
1	711	ABCD3	2
1	711	PARD6G	2
1	711	TMEM144	2
1	711	KCNMA1	1
1	711	DRP2	1
1	711	CBX5	1
1	711	NOL4L	1
1	711	ATP2A2	2
1	711	MAP2K6	1
1	711	HCN2	1
1	711	SPTLC2	1
1	711	SPOCK2	1
1	711	FOXN3	2
1	711	DBNDD1	1
1	711	CDK6	1
1	711	GAB2	5
1	711	YWHAG	5
1	711	RASGEF1B	1
1	711	SHANK1	1
1	711	PPM1D	2
1	711	SPTBN1	5
1	711	KITLG	2
1	711	PFKFB2	2
1	711	LRRN1	1
1	711	NCOA4	2
1	711	ARNT	1
1	711	SYT1	5
1	711	RBMS1	1
1	711	FBXL16	1
1	711	MDM2	2
1	711	CAB39L	1
1	711	SGPL1	1
1	711	ZCCHC2	1
1	711	ELFN2	1
1	711	DCX	5
1	711	ABLIM1	5
1	711	OTX2	1
1	711	SEMA6A	1
1	711	PI15	1
1	711	DGKB	1
1	711	LIMK2	2
1	711	DSTN	2
1	711	SRL	1
1	711	NLGN4Y	2
1	711	RASAL1	1
1	711	TCEA3	2
1	711	XPOT	1
1	711	RGR	1
1	711	MFSD6	1
1	711	TRIM9	1
1	711	GPC1	2
1	711	KIAA0040	1
1	711	KLHL41	2
1	711	CHRNB4	1
1	711	OCIAD2	1
1	711	CROT	2
1	711	ATP1B2	1
1	711	TMEM52	1
1	711	GDF15	2
1	711	GRIA1	5
1	711	BLOC1S2	2
1	711	SYTL1	2
1	711	JUP	1
1	711	LNCTAM34A	2
1	711	PEAK1	1
1	711	ATP1A3	5
1	711	PER3	1
1	711	SPARCL1	5
1	711	DPYSL3	5
1	711	C1orf226	2
1	711	GABARAPL1	1
1	711	BCL2L1	2
1	711	JPT1	1
1	711	TRIM24	2
1	711	NOM1	2
1	711	CANX	1
1	711	NPNT	5
1	711	TUBA1A	1
1	711	TYMSOS	2
1	711	HDAC4	2
1	711	ARFGEF3	5
1	711	ALPK3	1
1	711	LSAMP	5
1	711	AKAP13	5
1	711	SNX18	5
1	711	SHH	1
1	711	IGSF10	1
1	711	WWP1	2
1	711	HSPA12A	1
1	711	ATP9A	5
1	711	POLH	2
1	711	UBE2D3	1
1	711	PTGS2	1
1	711	ISL1	1
1	711	CRACD	5
1	711	TNC	1
1	711	SCN4B	2
1	711	LIG1	2
1	711	ZNF385A	2
1	711	RB1	2
1	711	FNBP1L	5
1	711	HSDL2	2
1	711	GAS7	2
1	711	PSTPIP2	2
1	711	PDE7A	2
1	711	ARHGAP42	2
1	711	EDNRA	1
1	711	PTBP2	1
1	711	FDXR	2
1	711	LIPA	1
1	711	B4GALT5	1
1	711	CEP85L	2
1	711	KCNN3	2
1	711	CLCN5	1
1	711	HIP1R	5
1	711	NCAM2	1
1	711	KIF5A	5
1	711	PRDM1	2
1	711	ANKRD13B	1
1	711	DINOL	2
1	711	CXCL14	1
1	711	DTWD1	2
1	711	SSR1	1
1	711	SEMA3C	1
1	711	PDLIM5	2
1	711	HHAT	2
1	711	CEP250	2
1	711	DSP	1
1	711	GAB1	5
1	711	RBM38	2
1	711	CDC42BPG	5
1	711	HIVEP1	5
1	711	TYMS	2
1	711	TRAK2	1
1	711	DESI2	2
1	711	SPRED2	5
1	711	MLF2	2
1	711	MTA2	2
1	711	CACNA1C	1
1	711	RNASE1	1
1	711	CDH13	2
1	711	GRB2	1
1	711	ATP6V0D1	2
1	711	COBLL1	2
1	711	CLCA2	2
1	711	RYR2	1
1	711	SLC4A11	2
1	711	CHD7	5
1	711	MIR34AHG	2
1	711	KPNA1	2
1	711	HES6	2
1	711	RTTN	2
1	711	PLCL2	2
1	711	MAST4	2
1	711	HIPK1	1
1	711	MAP1B	5
1	711	PAG1	5
1	711	ADAMTS5	1
1	711	UBASH3B	2
1	711	PIDD1	2
1	711	AKR1B1	1
1	711	COBL	2
1	711	SNN	1
1	711	TES	1
1	711	WHRN	2
1	711	ARAP1	2
1	711	TMEM14C	2
1	711	ISCU	2
1	711	SESN2	2
1	711	SPRY4	5
1	711	TMEM63B	2
1	711	F2R	1
1	711	GNB1	5
1	711	ZC3H12C	1
1	711	CES2	2
1	711	AMER1	5
1	711	MACROH2A1	2
1	711	CLSTN2	2
1	711	MAFG	1
1	711	KIAA1958	2
1	711	GDPD5	5
1	711	CDC42EP3	2
1	711	NTPCR	2
1	711	EPS8L2	2
1	711	G3BP2	1
1	711	KAT6A	5
1	711	TRIB2	1
1	711	TANC1	2
1	711	RAB15	5
1	711	ZNF611	2
