run	nodes	geneid	community
1	737	CEMIP2	1
1	737	IGDCC3	1
1	737	ST6GALNAC5	1
1	737	IGFBPL1	1
1	737	LMX1A	1
1	737	SYT4	2
1	737	MAP2	2
1	737	B4GALNT4	1
1	737	TRIM2	2
1	737	CKB	1
1	737	ENO3	1
1	737	PLEKHD1	1
1	737	INAVA	1
1	737	GRIA4	1
1	737	DOCK11	1
1	737	GNB3	1
1	737	ADGRA1	1
1	737	PEG10	1
1	737	PENK	1
1	737	KIF21B	2
1	737	RGS12	1
1	737	RIMS3	1
1	737	SCN4A	1
1	737	SPRY4	2
1	737	DCX	2
1	737	JPT1	2
1	737	SOGA3	2
1	737	RASGEF1B	1
1	737	ISL1	1
1	737	DAAM1	2
1	737	SEMA6A	2
1	737	ATP1A3	2
1	737	PRDM1	1
1	737	GABRD	2
1	737	ANK2	2
1	737	FNDC5	1
1	737	PSME4	1
1	737	MTURN	2
1	737	RAB15	2
1	737	SCG2	2
1	737	LRRN1	2
1	737	TUBA1A	2
1	737	LRP8	1
1	737	KIF5A	2
1	737	DPYSL5	2
1	737	AKAP13	2
1	737	SYBU	2
1	737	ROBO1	1
1	737	DGKB	2
1	737	PRKCD	1
1	737	OTX2	1
1	737	SPRED3	2
1	737	FNBP1L	2
1	737	ZC3H12C	1
1	737	NEFL	2
1	737	KANK4	1
1	737	SNN	2
1	737	ATF7IP	1
1	737	MAP1B	2
1	737	SLC36A1	1
1	737	UCHL1	2
1	737	MFNG	1
1	737	NARF	1
1	737	EEF1A2	2
1	737	CLSTN3	2
1	737	ZNF217	1
1	737	KCNH2	2
1	737	CACNA1H	1
1	737	SPOCK2	2
1	737	PHLDA1	1
1	737	SLAIN1	1
1	737	CCDC136	1
1	737	SYT1	2
1	737	GABARAPL1	2
1	737	REEP2	2
1	737	ZNF611	1
1	737	NEFH	1
1	737	SPTBN1	2
1	737	OCIAD2	1
1	737	VGLL4	1
1	737	ST18	2
1	737	KLF7	2
1	737	PRR35	2
1	737	EPHA4	1
1	737	SYT11	2
1	737	SOX6	2
1	737	SRL	2
1	737	TPD52L1	2
1	737	PGM2L1	2
1	737	CDKN2B	1
1	737	CDH2	1
1	737	YWHAG	2
1	737	CRACD	2
1	737	GAB2	2
1	737	SPTLC2	2
1	737	DHCR7	2
1	737	AMER1	2
1	737	LGR5	1
1	737	IGSF3	2
1	737	NRCAM	2
1	737	H2BC21	1
1	737	SMARCC1	1
1	737	SPARCL1	2
1	737	SPRED2	2
1	737	IGF2BP2	1
1	737	KLF6	2
1	737	PAG1	2
1	737	LRRTM2	2
1	737	SNX18	1
1	737	CLSTN2	1
1	737	DOCK3	2
1	737	ARPP19	2
1	737	OBSCN	2
1	737	NPHS1	1
1	737	BVES	1
1	737	CAB39L	1
1	737	TRIM72	2
1	737	ETV5	2
1	737	VASP	1
1	737	SHANK1	2
1	737	TRAK2	1
1	737	KCNMA1	2
1	737	CHD7	1
1	737	ANKRD13B	2
1	737	NOS1	1
1	737	KIAA1958	1
1	737	AGAP1	2
1	737	CILP2	1
1	737	ADAMTS17	1
1	737	ARFGEF3	2
1	737	PDLIM5	1
1	737	KIDINS220	2
1	737	ASXL3	1
1	737	MFSD6	2
1	737	HCN2	1
1	737	LRRC59	2
1	737	ABLIM1	2
1	737	LARGE2	2
1	737	ELFN2	1
1	737	FBXL16	1
1	737	ATP9A	2
1	737	HIVEP1	2
1	737	GUCY1A2	2
1	737	HES6	1
1	737	GAB1	1
1	737	RMST	2
1	737	CCDC88B	1
1	737	KIAA0040	1
1	737	CELSR2	2
1	737	STMN2	2
1	737	OXSR1	2
1	737	CHRNB4	1
1	737	NRG1	2
1	737	PARM1	2
1	737	ADAMTS5	2
1	737	SIPA1L2	1
1	737	RBM38	1
1	737	NPNT	1
1	737	GNPTAB	2
1	737	DPYSL3	2
1	737	GRIK3	2
1	737	GNB1	2
1	737	TMEM130	2
1	737	ATP6V1B2	2
1	737	NOL4L	1
1	737	MMP1	2
1	737	TNC	2
1	737	FKBP4	1
1	737	HSPA12A	1
1	737	MTHFD2	2
1	737	TCF3	1
1	737	RGS3	1
1	737	KIFAP3	1
1	737	GUCY1A1	1
1	737	TMEM52	1
1	737	DYNC1H1	2
1	737	SYN2	1
1	737	OTOF	1
1	737	ARFGEF1	1
1	737	NPTX1	1
1	737	TULP4	2
1	737	TUBB4B	1
1	737	TXNRD1	1
1	737	PTGS2	2
1	737	HIP1R	2
1	737	CACNA1A	1
1	737	TGFBR1	1
1	737	ABCG4	2
1	737	XPOT	2
1	737	IGFBP3	2
1	737	WNK2	2
1	737	EPHB1	1
1	737	TTL	2
1	737	COL4A1	2
1	737	DOCK9	1
1	737	SERP1	2
1	737	MT1F	1
1	737	F2R	2
1	737	MEST	2
1	737	CYFIP2	2
1	737	C12orf45	2
1	737	ANKRD65	1
1	737	KCNC4	2
1	737	DYNLL2	2
1	737	HEYL	1
1	737	ATP1A1	2
1	737	ANOS1	1
1	737	RBMS1	1
1	737	PI15	2
1	737	CDC42BPG	2
1	737	CCDC88C	1
1	737	ETV1	1
1	737	PRKX	1
1	737	IFT140	1
1	737	CAMK4	1
1	737	SOBP	2
1	737	EGR1	2
1	737	TNFRSF21	1
1	737	G3BP2	2
1	737	NIPA1	2
1	737	RGR	1
1	737	PPP2R1B	1
1	737	FLRT2	1
1	737	SART3	1
1	737	PFKFB2	1
1	737	CAMK2B	2
1	737	HIP1	1
1	737	KCNE4	2
1	737	PSD3	1
1	737	WWP1	2
1	737	ARHGAP26	2
1	737	PRUNE2	2
1	737	MLXIPL	1
1	737	CBX5	1
1	737	CPE	2
1	737	TMEM169	2
1	737	SEC24D	2
1	737	ATP1B2	1
1	737	PCSK1	2
1	737	WHRN	1
1	737	KLHL41	2
1	737	CBFA2T2	1
1	737	SRGAP3	2
1	737	ABI2	1
1	737	AMOTL1	2
1	737	FMN1	1
1	737	TRIM24	1
1	737	TNFRSF10A	1
1	737	PLXNB1	1
1	737	LAMA4	2
1	737	CDHR1	1
1	737	RAB3B	2
1	737	DRP2	1
1	737	PALLD	1
1	737	ITGA8	2
1	737	CDC42EP3	1
1	737	RFX7	2
1	737	RALGDS	2
1	737	ZNF195	1
1	737	DHRS2	1
1	737	GALNT11	2
1	737	VOPP1	1
1	737	LRFN2	2
1	737	RCAN2	1
1	737	GRP	1
1	737	SPHKAP	1
1	737	TYMS	1
1	737	COL4A2	2
1	737	LSAMP	2
1	737	STC1	2
1	737	ZNF510	1
1	737	TNFRSF11A	2
1	737	CDK6	1
1	737	COBL	2
1	737	ACTA2	1
1	737	FBXW7	1
1	737	UNC119	1
1	737	NCR3LG1	2
1	737	NSMF	1
1	737	CASK	2
1	737	HSDL2	1
1	737	C1QTNF12	1
1	737	PPM1D	1
1	737	COL15A1	2
1	737	SHH	1
1	737	F11R	2
1	737	CYP4F3	1
1	737	NCAM2	2
1	737	NEGR1	1
1	737	RB1	1
1	737	TRIM49	1
1	737	NLGN4Y	2
1	737	MUC19	1
1	737	SLC34A2	1
1	737	PEAK1	1
1	737	TP53I3	1
1	737	F5	1
1	737	CACNA1C	2
1	737	IL11	1
1	737	ADGRB2	2
1	737	ZNF337	2
1	737	TMEM30A	2
1	737	HSPA4L	2
1	737	CEP85L	1
1	737	FOXN3	2
1	737	LIG1	2
1	737	GRIA1	1
1	737	USP20	1
1	737	KIF3B	1
1	737	NOTCH1	1
1	737	DINOL	1
1	737	TMEM131	1
1	737	ISCU	1
1	737	CMBL	1
1	737	DDB2	1
1	737	NSD1	2
1	737	CXCL1	2
1	737	NTF4	1
1	737	CACNA1E	2
1	737	RAN	1
1	737	SYNJ2BP	2
1	737	SET	1
1	737	PHLDB3	1
1	737	CYP4F2	1
1	737	SLC4A11	1
1	737	INPP5D	1
1	737	BAX	1
1	737	ZSCAN4	1
1	737	TRIM43B	1
1	737	TSPEAR	2
1	737	KPNA1	1
1	737	E2F7	1
1	737	NOM1	1
1	737	MPP2	2
1	737	NOS1AP	1
1	737	TLE4	1
1	737	ABCA12	1
1	737	RFPL4B	1
1	737	RPS27L	1
1	737	SESN2	1
1	737	AREG	1
1	737	RNASE1	1
1	737	TNFRSF10C	1
1	737	TRIM43	1
1	737	KCNN3	1
1	737	FDXR	1
1	737	MAP2K6	1
1	737	POLH	1
1	737	LINC02334	1
1	737	TP53INP1	1
1	737	ZMAT3	1
1	737	HS3ST4	2
1	737	MDM2	1
1	737	TP53	1
1	737	NES	1
1	737	TMEM144	1
1	737	HHAT	1
1	737	SMARCE1	1
1	737	VTA1	1
1	737	ZNF561	1
1	737	PCYOX1	2
1	737	RRM2B	1
1	725	CEMIP2	3
1	725	IGDCC3	3
1	725	ST6GALNAC5	3
1	725	IGFBPL1	3
1	725	LMX1A	3
1	725	SYT4	1
1	725	MAP2	1
1	725	B4GALNT4	3
1	725	FSD1	1
