run	nodes	geneid	community
1	725	SERPINF1	1
1	725	CROCC2	1
1	725	OTOF	3
1	725	MT1F	3
1	725	FKBP4	3
1	725	RGS3	3
1	725	KANK4	3
1	725	ZDHHC22	1
1	725	DLX3	1
1	725	CTSB	1
1	725	APLP2	1
1	725	PENK	3
1	725	MIAT	1
1	725	CIT	1
1	725	COTL1	1
1	725	RGS12	1
1	725	TIMP3	1
1	725	SYT6	1
1	725	TMEM132B	1
1	725	RARRES2	1
1	725	CDH15	1
1	725	USP20	3
1	725	VIM	1
1	725	PFKFB3	1
1	725	RNASE1	3
1	725	NR1D1	3
1	725	ELFN2	3
1	725	COL12A1	1
1	725	TTC3	2
1	725	CD44	1
1	725	IGSF8	1
1	725	SHB	1
1	725	ACTN3	1
1	725	ARHGEF12	2
1	725	NSMF	3
1	725	SPEG	1
1	725	BMP7	1
1	725	TNNT2	1
1	725	STC2	1
1	725	SH3RF3	3
1	725	SNHG29	1
1	725	CA9	1
1	725	RCAN2	2
1	725	SSR1	2
1	725	TPT1	1
1	725	NKD1	1
1	725	IQSEC1	1
1	725	SLC6A6	1
1	725	RBP1	1
1	725	DAZL	1
1	725	PTPRU	1
1	725	RPS6	2
1	725	ZHX1	2
1	725	ANXA5	1
1	725	EGFR	1
1	725	NOS1	3
1	725	WHRN	3
1	725	SUN2	1
1	725	FAM131B	1
1	725	EIF3E	2
1	725	PTBP2	2
1	725	SPATA13	2
1	725	FBLN1	1
1	725	PNRC1	2
1	725	CANX	2
1	725	ARNT	2
1	725	SEMA3C	2
1	725	TMEM245	2
1	725	RNF213	1
1	725	GRIK3	3
1	725	SSTR2	1
1	725	TNRC6C	3
1	725	PHGDH	1
1	725	ZNF510	3
1	725	PER3	2
1	725	SERINC5	3
1	725	SCP2	2
1	725	UBE2D3	2
1	725	ID1	1
1	725	TRIM9	3
1	725	ENO3	1
1	725	HIP1	3
1	725	VTA1	2
1	725	KCTD12	2
1	725	NRP2	1
1	725	NDRG1	1
1	725	SHH	3
1	725	LRRC8D	3
1	725	TRIM25	1
1	725	OLFML2B	1
1	725	STK32C	1
1	725	FAIM2	2
1	725	CD81	1
1	725	ZNF395	1
1	725	DSTN	2
1	725	RAN	2
1	725	CASTOR2	2
1	725	CACNA1A	3
1	725	BCAM	3
1	725	TGFBI	1
1	725	SEPTIN4	1
1	725	CHSY1	1
1	725	CCDC136	3
1	725	ATP6V1C1	3
1	725	TPD52L1	3
1	725	AFAP1	2
1	725	SH3KBP1	1
1	725	ANKRD33B	2
1	725	RGS2	1
1	725	GPR107	2
1	725	NIPA1	2
1	725	ARHGAP26	2
1	725	SCN4A	3
1	725	STC1	1
1	725	CASTOR3	2
1	725	CILP2	3
1	725	SPHKAP	3
1	725	MAP2K6	2
1	725	TENM4	3
1	725	H1-0	1
1	725	ATP1A1	1
1	725	SART3	2
1	725	C14orf132	2
1	725	NOTCH1	3
1	725	CXCL14	2
1	725	MBNL2	2
1	725	LAMP2	1
1	725	NPHS1	3
1	725	UNC119	2
1	725	SESN2	3
1	725	SMARCE1	2
1	725	HEY1	1
1	725	TCF7	1
1	725	PDZRN3	2
1	725	SET	2
1	725	SLC38A4	3
1	725	SNHG1	2
1	725	SOX8	1
1	725	SQSTM1	1
1	725	RASAL1	2
1	725	DTWD1	2
1	725	HELZ2	1
1	725	NPTX1	1
1	725	STRADB	3
1	725	IP6K3	3
1	725	MACROH2A1	3
1	725	SCD5	2
1	725	PRAG1	1
1	725	ITGA6	2
1	725	ANTXR1	2
1	725	LMX1A	3
1	725	NINJ1	1
1	725	LTBP2	1
1	725	RNPEP	1
1	725	SLC7A1	1
1	725	IFIH1	1
1	725	ID2	1
1	725	COL4A5	2
1	725	PCYOX1	1
1	725	VSTM4	2
1	725	FOXO1	3
1	725	RBM24	1
1	725	PLEKHD1	3
1	725	KIF1C	1
1	725	KIF3B	2
1	725	FNDC5	3
1	725	GNG5	1
1	725	SMARCC1	1
1	725	CHRNA1	1
1	725	LPAR1	1
1	725	ABCD3	2
1	725	SCRN1	1
1	725	SCN8A	2
1	725	OPRD1	2
1	725	OLFML2A	2
1	725	NTPCR	2
1	725	TMSB4X	1
1	725	FAT1	1
1	725	MX2	1
1	725	PCSK1	2
1	725	ADGRE5	1
1	725	MAN1C1	3
1	725	EMP1	1
1	725	SPATS2L	2
1	725	NRBP1	1
1	725	BST2	1
1	725	NADSYN1	1
1	725	CPD	1
1	725	TMEM14C	1
