run	nodes	geneid	community
1	553	OTX2	3
1	553	CDHR1	3
1	553	VASP	1
1	553	RBM38	1
1	553	GUCY1A2	3
1	553	PAG1	3
1	553	PRDM1	1
1	553	CHRNB4	3
1	553	TNFRSF21	3
1	553	B4GALNT4	3
1	553	ADAM19	1
1	553	CEBPA	1
1	553	PADI2	1
1	553	SSTR2	1
1	553	PHLDA1	1
1	553	RGR	1
1	553	PXDN	1
1	553	NEFH	3
1	553	MFNG	3
1	553	SMARCC1	1
1	553	ISL1	3
1	553	ST6GALNAC5	3
1	553	KIAA0040	3
1	553	CBFA2T2	1
1	553	PRRX1	1
1	553	CD164	1
1	553	TLN1	1
1	553	WASF2	1
1	553	PRR35	3
1	553	SOX8	1
1	553	RGS2	1
1	553	IGDCC3	1
1	553	JAG2	3
1	553	HCN2	3
1	553	CACNA1H	3
1	553	NR4A1	1
1	553	TCF3	1
1	553	PPIF	1
1	553	FNDC5	1
1	553	RASSF3	1
1	553	DBNDD1	3
1	553	RHOB	1
1	553	ROBO1	3
1	553	ADGRA1	3
1	553	RASGEF1B	3
1	553	PTBP1	1
1	553	IQGAP1	1
1	553	TRAK2	3
1	553	GNG5	1
1	553	FBLIM1	1
1	553	GNB3	3
1	553	PTTG1IP	1
1	553	NPNT	3
1	553	TENT5A	1
1	553	CAMK2B	3
1	553	DOCK11	1
1	553	SLC36A1	3
1	553	MYH9	1
1	553	GUCY1A1	3
1	553	HEYL	3
1	553	DGKH	3
1	553	FBXL16	3
1	553	ANTXR2	1
1	553	VAV2	1
1	553	RBMS1	1
1	553	TRIB2	3
1	553	SYN2	3
1	553	PPP2R1B	1
1	553	INAVA	3
1	553	GLRX	1
1	553	TGFB2	3
1	553	GAB1	3
1	553	ADAMTS7	1
1	553	SLAIN1	3
1	553	SGPL1	1
1	553	CDKN2B	3
1	553	ZNF611	1
1	553	CHSY1	1
1	553	LDLR	1
1	553	EPS8L2	3
1	553	CDH2	3
1	553	PCNX1	1
1	553	GDPD5	3
1	553	LGR5	3
1	553	AP3M1	1
1	553	RHOA	1
1	553	BTN2A1	1
1	553	ITGB1	1
1	553	PCSK1	3
1	553	ANKRD65	3
1	553	PRKCD	1
1	553	CDC42SE1	1
1	553	CLCN5	3
1	553	NPTX1	3
1	553	IGFBPL1	3
1	553	CNN3	1
1	553	TUBB4B	3
1	553	DSP	1
1	553	ST18	3
1	553	PEG10	3
1	553	LRP8	3
1	553	RIMS3	3
1	553	VGLL4	1
1	553	PALLD	3
1	553	KLF7	3
1	553	BVES	1
1	553	DDX3X	1
1	553	FAM167A	1
1	553	SYBU	3
1	553	TXNRD1	1
1	553	ACTA2	3
1	553	AKAP13	3
1	553	CEMIP2	1
1	553	PENK	1
1	553	HEY1	1
1	553	OXSR1	1
1	553	SPATS2L	1
1	553	ZNF217	1
1	553	IGF2BP2	3
1	553	NRBP1	1
1	553	LRRC8D	3
1	553	SNHG1	1
1	553	CXCL1	1
1	553	ATP5MC3	3
1	553	PFKFB3	1
1	553	GRB2	1
1	553	NARF	3
1	553	KANK4	3
1	553	FADS1	3
1	553	SNX18	3
1	553	CHD7	3
1	553	ACLY	1
1	553	CDC42EP3	1
1	553	DAZL	1
1	553	MAFG	1
1	553	LAMP2	1
1	553	SLC39A10	3
1	553	PSME4	1
1	553	GRB7	3
1	553	ZC3H12C	3
1	553	SDCBP	1
1	553	E2F3	3
1	553	HMOX1	1
1	553	LIMK2	1
1	553	STK32C	3
1	553	GRK2	1
1	553	CKB	1
1	553	TMSB4X	1
1	553	SERTAD2	1
1	553	RBM24	1
1	553	SLC7A1	1
1	553	H1-0	1
1	553	DPP4	1
1	553	PDLIM5	1
1	553	POR	1
1	553	ULK1	1
1	553	KAT6A	1
1	553	TP53INP2	1
1	553	RPN2	1
1	553	TMEM169	1
1	553	GRIA4	3
1	553	HES6	1
1	553	ANXA5	1
1	553	XRCC5	1
1	553	ASXL3	3
1	553	ASAP1	1
1	553	ITPRIPL2	1
1	553	ENO3	1
1	553	MFSD14A	1
1	553	ADGRE5	1
1	553	SEPTIN4	1
1	553	FLRT2	3
1	553	USP14	1
1	553	C12orf45	3
1	553	ACTR1A	1
1	553	RGS12	1
1	553	HYOU1	1
1	553	NCOA4	1
1	553	KIFAP3	3
1	553	BTG2	1
1	553	OPRD1	1
1	553	RAB31	1
1	553	OSBPL8	3
1	553	TOB1	1
1	553	H2BC21	1
1	553	KIF1C	1
1	553	ATP2A2	3
1	553	KIAA1958	3
1	553	LMX1A	1
1	553	PRKX	3
1	553	ZNF337	3
1	553	GNS	1
1	553	MTA2	1
1	553	PDE7A	3
1	553	FAT1	3
1	553	EPHA4	1
1	553	ZNF561	1
1	553	NEURL1B	1
1	553	CDK6	3
1	553	FBXW7	3
1	553	CBX5	3
1	553	ARHGAP42	1
1	553	ZNF195	1
1	553	KITLG	1
1	553	PSD3	1
1	553	IFFO2	3
1	553	NACC2	1
1	553	MAP4K4	1
1	553	HSPA4L	3
1	553	SCRN1	1
1	553	UNC119	1
1	553	UBASH3B	1
1	553	CHST2	3
1	553	GLTP	1
1	553	SIPA1L2	3
1	553	RB1	1
1	553	RGS3	1
1	553	CASZ1	1
1	553	SULF2	1
1	543	OTX2	3
1	543	CDHR1	3
1	543	VASP	1
1	543	RBM38	1
1	543	GUCY1A2	3
1	543	PAG1	3
1	543	PRDM1	1
1	543	CHRNB4	3
1	543	TNFRSF21	3
1	543	B4GALNT4	3
1	543	ADAM19	1
1	543	CEBPA	1
1	543	PADI2	1
1	543	SSTR2	1
1	543	PHLDA1	1
1	543	RGR	1
1	543	PXDN	1
1	543	NEFH	3
1	543	MFNG	3
1	543	SMARCC1	1
1	543	ISL1	3
1	543	ST6GALNAC5	3
1	543	KIAA0040	3
1	543	CBFA2T2	1
1	543	PRRX1	1
1	543	CD164	1
1	543	TLN1	1
1	543	WASF2	1
1	543	PRR35	3
1	543	SOX8	1
1	543	RGS2	1
1	543	IGDCC3	1
1	543	JAG2	3
1	543	HCN2	3
1	543	CACNA1H	3
1	543	NR4A1	1
1	543	TCF3	1
1	543	PPIF	1
1	543	FNDC5	1
1	543	RASSF3	1
1	543	DBNDD1	3
1	543	RHOB	1
1	543	ROBO1	3
1	543	ADGRA1	3
