run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	711	KLF6	0.17042253521126763	0.0008542084665964759	0.2591549295774648	0.0039194262897554585	1	171	99.0	20.0	9.0	11.0
1	711	MLXIPL	0.07323943661971831	0.00047478098492222733	0.09577464788732395	0.015608176562903515	2	122	15.0	68.0	14.0	4.0
1	711	LMX1A	0.16056338028169015	0.00028804704106160235	0.31126760563380285	0.001869325969923916	1	171	169.0	11.0	40.0	14.0
1	711	HEYL	0.19014084507042253	0.00026818172788494013	0.33098591549295775	0.005037843421601542	1	171	76.0	9.0	42.0	6.0
1	711	HEY1	0.22253521126760564	0.001094578756034089	0.42112676056338033	0.015522755716243867	1	171	16.0	3.0	5.0	3.0
1	711	ST18	0.04084507042253521	0.00011720534774230716	0.06619718309859156	0.00762629372852063	5	61	46.0	101.0	16.0	11.0
1	703	KLF6	0.16809116809116809	0.0010343384095167262	0.24786324786324787	0.004052005478539002	1	172	93.0	18.0	8.0	11.0
1	703	MLXIPL	0.0698005698005698	0.0003779704207664264	0.09116809116809117	0.023470743870173255	2	118	7.0	66.0	16.0	4.0
1	703	LMX1A	0.15242165242165243	0.0004369012928214069	0.301994301994302	0.0027148843126018588	1	172	133.0	11.0	33.0	14.0
1	703	HEYL	0.1851851851851852	0.0004490938870396787	0.3247863247863248	0.007337909620363257	1	172	52.0	9.0	32.0	6.0
1	703	HEY1	0.21794871794871795	0.00046941487740346507	0.4102564102564103	0.013820305546411109	1	172	19.0	3.0	30.0	3.0
1	703	ST18	0.038461538461538464	0.0001320864373646114	0.06267806267806268	0.007447642968327704	5	60	51.0	101.0	13.0	10.0
1	697	KLF6	0.1839080459770115	0.0013334160258000498	0.22557471264367815	0.004066402050773175	1	182	99.0	20.0	7.0	8.0
1	697	MLXIPL	0.06465517241379311	0.000268750516827917	0.08477011494252873	0.023743074505912513	2	114	8.0	67.0	19.0	4.0
1	697	LMX1A	0.15086206896551724	0.0008641362771851485	0.2974137931034483	0.005116596378069958	0	211	86.0	10.0	28.0	16.0
1	697	HEYL	0.1839080459770115	0.0008289919788307286	0.3103448275862069	0.008089390556520302	1	182	47.0	9.0	18.0	8.0
1	697	HEY1	0.22270114942528735	0.0006718762920697925	0.39511494252873564	0.006836599685768627	1	182	61.0	2.0	23.0	4.0
1	697	ST18	0.028735632183908046	3.514429835441991e-05	0.05890804597701149	0.008986603820391964	5	41	42.0	97.0	16.0	8.0
1	689	KLF6	0.17151162790697674	0.0009626451372668495	0.21656976744186046	0.0037405639619511864	1	182	99.0	19.0	11.0	10.0
1	689	MLXIPL	0.06395348837209303	0.0003427439829389662	0.08139534883720931	0.025974493077417827	2	103	8.0	63.0	14.0	4.0
1	689	LMX1A	0.14534883720930233	0.0004548762736535662	0.27761627906976744	0.005164432483666768	1	182	83.0	11.0	36.0	14.0
1	689	HEYL	0.1933139534883721	0.0009097525473071324	0.3008720930232558	0.005852036153143089	1	182	72.0	9.0	13.0	6.0
1	689	HEY1	0.22819767441860464	0.000839934328560306	0.38372093023255816	0.00726109474966995	1	182	54.0	2.0	19.0	3.0
1	689	ST18	0.030523255813953487	6.34711079516604e-05	0.05377906976744186	0.004639737991266376	5	49	89.0	99.0	18.0	10.0
1	680	KLF6	0.16789396170839468	0.0011338902863398804	0.21649484536082475	0.004833153040433398	1	204	79.0	17.0	18.0	6.0
1	680	MLXIPL	0.06480117820324005	0.0003562413926431808	0.07952871870397643	0.02608599319665828	2	104	7.0	60.0	14.0	4.0
1	680	LMX1A	0.1634756995581738	0.0008536760201754271	0.27540500736377027	0.004409573335766201	0	229	91.0	10.0	31.0	11.0
1	680	HEYL	0.1487481590574374	0.0010687241779295425	0.27835051546391754	0.004924385592207871	1	204	76.0	9.0	19.0	10.0
1	680	HEY1	0.19734904270986744	0.0010013858659055266	0.3711340206185567	0.00918842128585765	1	204	40.0	2.0	21.0	4.0
1	680	ST18	0.033873343151693665	0.00022156476859514903	0.05154639175257732	0.004455189611653438	1	204	88.0	89.0	57.0	43.0
1	669	KLF6	0.17514970059880242	0.0014027417429010047	0.20059880239520958	0.004616703624235787	0	223	82.0	18.0	19.0	7.0
1	669	MLXIPL	0.062874251497006	0.0002962590561006922	0.07634730538922156	0.031859070464767617	2	92	5.0	57.0	12.0	4.0
1	669	LMX1A	0.13323353293413173	0.0007698246685040713	0.2634730538922156	0.0056311664527017935	1	209	67.0	10.0	30.0	15.0
1	669	HEYL	0.17065868263473055	0.001732666600831321	0.2634730538922156	0.00619899631022812	0	223	61.0	10.0	11.0	8.0
1	669	HEY1	0.22305389221556887	0.0014117192900555712	0.3607784431137725	0.010909964179586853	0	223	33.0	2.0	18.0	4.0
1	669	ST18	0.03293413173652695	0.0002760595750029177	0.04940119760479042	0.006663584375476933	0	223	57.0	85.0	57.0	47.0
1	661	KLF6	0.1590909090909091	0.001184071366165448	0.18636363636363637	0.004977698073297466	1	171	71.0	19.0	9.0	7.0
1	661	MLXIPL	0.06060606060606061	0.0006575619625695499	0.07272727272727272	0.04969421069572815	2	89	2.0	54.0	7.0	4.0
1	661	LMX1A	0.13333333333333333	0.0005770910930243252	0.24696969696969698	0.00789304271853589	0	215	48.0	9.0	41.0	15.0
1	661	HEYL	0.1484848484848485	0.0009357612544258979	0.24393939393939393	0.00622154779969651	1	171	61.0	10.0	17.0	9.0
1	661	HEY1	0.2	0.0012898330804248861	0.3393939393939394	0.014560629052283074	1	171	21.0	3.0	6.0	3.0
1	661	ST18	0.024242424242424242	0.0002345151055317975	0.045454545454545456	0.006106589414631903	5	48	62.0	85.0	5.0	9.0
