run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	737	LMX1A	0.1793478260869565	0.0032664152617568765	0.2758152173913043	0.014056492162082223	1	201	8.0	8.0	1.0	1.0
1	737	ISL1	0.08559782608695651	0.0006654835847382431	0.0951086956521739	0.0029447648624667255	1	201	78.0	104.0	16.0	14.0
1	737	PRDM1	0.11005434782608696	0.000987133984028394	0.12228260869565218	0.0033366607512570244	1	201	69.0	76.0	12.0	10.0
1	737	KLF7	0.10869565217391304	0.0004972641230405206	0.15081521739130435	0.00264899438036084	2	161	88.0	52.0	16.0	19.0
1	737	ETV5	0.043478260869565216	0.00013124815143448685	0.04755434782608695	0.00029207335107956224	2	161	247.0	171.0	60.0	55.0
1	725	LMX1A	0.11740331491712706	0.0020479432689148197	0.26381215469613256	0.018068514400556308	3	130	5.0	7.0	1.0	2.0
1	725	ISL1	0.07734806629834254	0.00034960225579422756	0.09116022099447513	0.0013812154696132598	3	130	150.0	101.0	20.0	9.0
1	725	PRDM1	0.08287292817679558	0.0007985450432895471	0.11325966850828728	0.00464416985702605	3	130	52.0	75.0	6.0	7.0
1	725	KLF7	0.11602209944751381	0.0005482833191964116	0.13812154696132595	0.0022714594652422765	1	190	97.0	53.0	30.0	20.0
1	725	ETV5	0.04281767955801105	0.0001757563253173166	0.04419889502762431	0.0003304983073901714	1	190	238.0	167.0	64.0	58.0
1	704	LMX1A	0.15078236130867712	0.0018095018095018096	0.2532005689900427	0.019671493355703885	1	197	5.0	7.0	5.0	4.0
1	704	ISL1	0.06258890469416785	0.000158052789631737	0.08534850640113799	0.001001001001001001	3	73	175.0	99.0	14.0	6.0
1	704	PRDM1	0.06258890469416785	0.000656526972316446	0.11095305832147938	0.003943214469530259	1	197	63.0	72.0	17.0	15.0
1	704	KLF7	0.11522048364153628	0.000640316429790114	0.1337126600284495	0.002182344287607446	0	216	109.0	51.0	31.0	20.0
1	704	ETV5	0.03698435277382646	0.000129684340210656	0.03698435277382646	0.00013373697584223901	0	216	273.0	173.0	78.0	61.0
1	687	LMX1A	0.11224489795918367	0.002336617650188334	0.24198250728862974	0.02188504181651806	3	123	4.0	7.0	1.0	2.0
1	687	ISL1	0.07142857142857142	0.00035964333595794943	0.08454810495626822	0.0022770317720414547	3	123	110.0	95.0	21.0	10.0
1	687	PRDM1	0.08017492711370262	0.0010980826115639165	0.10495626822157435	0.007005596816411654	3	123	30.0	67.0	7.0	7.0
1	687	KLF7	0.09620991253644315	0.00048307122640505633	0.12536443148688045	0.0026792364495328894	2	164	98.0	52.0	28.0	19.0
1	687	ETV5	0.033527696793002916	0.00017875763444063757	0.033527696793002916	0.00016598923198059203	2	164	256.0	170.0	52.0	53.0
1	671	LMX1A	0.1044776119402985	0.002166298552082636	0.22686567164179106	0.02314882984182228	3	120	5.0	7.0	1.0	2.0
1	671	ISL1	0.06865671641791045	0.0003725765789884658	0.07761194029850746	0.001450148361332352	3	120	153.0	93.0	19.0	11.0
1	671	PRDM1	0.07164179104477612	0.0012225866184771212	0.09701492537313433	0.006458737701626398	3	120	37.0	68.0	6.0	8.0
1	671	KLF7	0.08656716417910448	0.0005265154050375923	0.11641791044776119	0.0019900497512437814	2	156	122.0	53.0	28.0	20.0
1	671	ETV5	0.029850746268656716	0.00019409678067063785	0.029850746268656716	0.0002097137630234478	2	156	241.0	170.0	50.0	51.0
1	652	LMX1A	0.09831029185867896	0.0018291386033321517	0.22119815668202764	0.027103863878057428	3	107	3.0	7.0	1.0	2.0
1	652	ISL1	0.0706605222734255	0.0005860805860805861	0.07680491551459294	0.0028949545078577337	3	107	95.0	87.0	10.0	10.0
1	652	PRDM1	0.07219662058371736	0.0010610894481862224	0.09831029185867896	0.008992083185631572	3	107	26.0	60.0	4.0	7.0
1	652	KLF7	0.07987711213517665	0.0003781165071487652	0.11674347158218126	0.0032990665248729765	2	148	80.0	48.0	31.0	20.0
1	652	ETV5	0.026113671274961597	0.00019614793808342195	0.026113671274961597	0.0001890582535743826	2	148	233.0	171.0	48.0	51.0
1	632	LMX1A	0.10142630744849446	0.001977209267225115	0.2091917591125198	0.02288632304480165	3	106	5.0	7.0	1.0	1.0
1	632	ISL1	0.06973058637083994	0.0006917716901869041	0.07448494453248812	0.003375845848112092	3	106	84.0	81.0	9.0	9.0
1	632	PRDM1	0.0729001584786054	0.0011672075063517218	0.09350237717908083	0.009186728045682086	3	106	27.0	60.0	3.0	5.0
1	632	KLF7	0.07765451664025357	0.0005458707518929389	0.10776545166402536	0.0032651623776821874	2	157	88.0	50.0	33.0	20.0
1	632	ETV5	0.022187004754358162	0.00011319900384876613	0.022187004754358162	0.00010565240359218173	2	157	248.0	175.0	60.0	54.0
1	614	LMX1A	0.09135399673735727	0.00170862254635405	0.19249592169657423	0.020644745119363678	3	103	10.0	8.0	2.0	2.0
1	614	ISL1	0.0701468189233279	0.0008369851475119684	0.0766721044045677	0.0033319472432801287	3	103	91.0	74.0	7.0	8.0
1	614	PRDM1	0.0701468189233279	0.0007916706650033587	0.08972267536704731	0.009284137798675752	3	103	27.0	59.0	8.0	8.0
1	614	KLF7	0.0766721044045677	0.0004024992269882396	0.09787928221859707	0.0032972949919500157	2	152	92.0	50.0	36.0	20.0
1	614	ETV5	0.021207177814029365	0.00015193679429357387	0.021207177814029365	0.00018392348782906312	2	152	234.0	169.0	56.0	53.0
1	601	LMX1A	0.09666666666666668	0.0016750139120756816	0.18333333333333335	0.02636894824707846	3	90	8.0	8.0	2.0	2.0
1	601	ISL1	0.06166666666666667	0.00021424596549805228	0.06833333333333334	0.002576516416249304	4	57	110.0	75.0	8.0	6.0
