run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	553	OTX2	0.11775362318840579	0.0013644493542702334	0.16304347826086957	0.012326073805202661	3	87	10.0	78.0	1.0	4.0
1	553	PRDM1	0.043478260869565216	0.00040440306162708116	0.07789855072463768	0.002291617349220127	1	132	150.0	169.0	40.0	52.0
1	553	CEBPA	0.11775362318840579	0.00045372050816696913	0.2554347826086957	0.0075225545122175755	1	132	45.0	3.0	36.0	21.0
1	553	ISL1	0.10144927536231885	0.0005227649333228123	0.1358695652173913	0.004402404061127331	3	87	93.0	110.0	8.0	13.0
1	553	PRRX1	0.1503623188405797	0.0005655067203240485	0.2246376811594203	0.009071122333570056	1	132	28.0	17.0	30.0	1.0
1	553	TCF3	0.11956521739130435	0.0005523554012467451	0.21739130434782608	0.0062172860937952075	1	132	58.0	21.0	31.0	19.0
1	543	OTX2	0.11254612546125461	0.0006616147492343685	0.15313653136531366	0.010521038666948592	3	87	17.0	81.0	5.0	4.0
1	543	PRDM1	0.042435424354243544	0.00011936348568661286	0.07749077490774907	0.0020803350362523956	1	127	156.0	158.0	59.0	51.0
1	543	CEBPA	0.11254612546125461	0.0005217889517157648	0.24907749077490773	0.012413802511407739	1	127	8.0	3.0	31.0	20.0
1	543	ISL1	0.1014760147601476	0.00031716583339585705	0.13099630996309963	0.0032876114343398516	3	87	123.0	105.0	23.0	11.0
1	543	PRRX1	0.14391143911439114	0.00029670352156386626	0.2103321033210332	0.009593413863898344	1	127	23.0	18.0	44.0	1.0
1	543	TCF3	0.12177121771217712	0.0008184924732796311	0.2121771217712177	0.008583939813520132	1	127	32.0	16.0	20.0	12.0
1	529	OTX2	0.10984848484848485	0.0005786038755678225	0.13446969696969696	0.006785118739577943	3	85	62.0	90.0	9.0	4.0
1	529	PRDM1	0.043560606060606064	0.00011140819964349377	0.07196969696969698	0.0012686159507791386	1	130	193.0	157.0	68.0	51.0
1	529	CEBPA	0.11553030303030304	0.0007043873267782186	0.23484848484848486	0.01374633431085044	1	130	9.0	4.0	29.0	19.0
1	529	ISL1	0.10227272727272728	0.0004600080501408775	0.12878787878787878	0.003514749008107642	3	85	119.0	98.0	18.0	10.0
1	529	PRRX1	0.14772727272727273	0.000510321430625036	0.19128787878787878	0.008585618998332472	1	130	41.0	23.0	41.0	1.0
1	529	TCF3	0.12121212121212122	0.000937985164740383	0.20075757575757577	0.007191219596342936	1	130	56.0	17.0	18.0	14.0
1	525	OTX2	0.11068702290076335	0.0006641075416344344	0.1297709923664122	0.0044188694116445056	3	88	103.0	83.0	9.0	4.0
1	525	PRDM1	0.04007633587786259	0.0005436924379314874	0.06297709923664122	0.0034190591566564013	0	125	124.0	161.0	40.0	48.0
1	525	CEBPA	0.11259541984732824	0.0009341292893319516	0.21564885496183206	0.013446353246829069	0	125	13.0	6.0	18.0	12.0
1	525	ISL1	0.09351145038167939	0.0004415220469108053	0.11832061068702289	0.004061273043072118	3	88	111.0	100.0	19.0	12.0
1	525	PRRX1	0.13549618320610687	0.0007589800475822107	0.17938931297709923	0.007272342475150702	0	125	55.0	22.0	28.0	1.0
1	525	TCF3	0.11259541984732824	0.0007407353348999461	0.18893129770992365	0.007772247602644754	0	125	48.0	18.0	29.0	12.0
1	515	OTX2	0.10505836575875487	0.0006902253471985194	0.1264591439688716	0.004717804021510759	3	87	100.0	75.0	9.0	4.0
1	515	PRDM1	0.038910505836575876	0.0008570930135542055	0.06031128404669261	0.004406823370575162	0	128	104.0	156.0	29.0	49.0
1	515	CEBPA	0.10700389105058367	0.0009215646119189023	0.20038910505836577	0.013326658626679106	0	128	15.0	4.0	22.0	15.0
1	515	ISL1	0.0933852140077821	0.0004209616128518443	0.11284046692607004	0.0051046336116989405	3	87	93.0	97.0	22.0	10.0
1	515	PRRX1	0.13813229571984437	0.0011642812175271728	0.17120622568093385	0.009830022527134958	0	128	35.0	23.0	10.0	1.0
1	515	TCF3	0.11284046692607004	0.0009481117406573069	0.17898832684824903	0.011009473532512647	0	128	29.0	16.0	19.0	10.0
1	506	OTX2	0.10495049504950495	0.0005382681125255382	0.12673267326732673	0.004341505579129341	3	85	107.0	65.0	13.0	3.0
1	506	PRDM1	0.03564356435643565	0.0007504321860757504	0.055445544554455446	0.003921106396353921	0	130	114.0	159.0	32.0	49.0
1	506	CEBPA	0.10495049504950495	0.0012258368694012258	0.19603960396039605	0.013869244067263867	0	130	10.0	4.0	11.0	14.0
1	506	ISL1	0.09306930693069307	0.0005461260411755461	0.11089108910891089	0.005182303944680182	3	85	93.0	85.0	12.0	10.0
1	506	PRRX1	0.12871287128712872	0.0014340719786264339	0.15643564356435644	0.010089580386610088	0	130	30.0	26.0	5.0	2.0
1	506	TCF3	0.10495049504950495	0.0011393996542511393	0.16237623762376238	0.0101013672795851	0	130	29.0	19.0	15.0	14.0
1	495	OTX2	0.10526315789473684	0.0009608198996476993	0.12550607287449392	0.008318893661052302	3	81	53.0	58.0	1.0	3.0
1	495	PRDM1	0.03441295546558704	0.0006528648036067701	0.05263157894736842	0.004524886877828054	0	123	109.0	157.0	37.0	48.0
1	495	CEBPA	0.09919028340080972	0.0010059866470670357	0.18218623481781376	0.008713076183984692	0	123	47.0	4.0	15.0	13.0
1	495	ISL1	0.0931174089068826	0.0006898194151316816	0.10728744939271255	0.007649604585656684	3	81	60.0	78.0	6.0	7.0
1	495	PRRX1	0.12145748987854252	0.0011086383457473454	0.145748987854251	0.008791091474981728	0	123	44.0	27.0	11.0	1.0
1	495	TCF3	0.10323886639676114	0.0011948657726388056	0.15991902834008098	0.012975174713191153	0	123	16.0	15.0	10.0	7.0
1	485	OTX2	0.1012396694214876	0.0010736957377273583	0.11983471074380166	0.0118491521653577	3	78	24.0	51.0	2.0	3.0
1	485	PRDM1	0.03305785123966942	0.0006929829064216416	0.05165289256198347	0.005051930941259004	0	118	96.0	149.0	29.0	46.0
1	485	CEBPA	0.09710743801652894	0.001480074602604247	0.1756198347107438	0.0119389832828568	0	118	22.0	4.0	5.0	7.0
1	485	ISL1	0.08677685950413223	0.0008341460910630871	0.1012396694214876	0.007096658282429034	3	78	66.0	78.0	5.0	7.0
1	485	PRRX1	0.11570247933884298	0.000598874116660678	0.13636363636363635	0.005351367999589344	0	118	90.0	24.0	33.0	1.0
1	485	TCF3	0.09504132231404959	0.001462963913556799	0.14669421487603307	0.01015091627739849	0	118	38.0	17.0	6.0	8.0
1	480	OTX2	0.08768267223382045	0.001061311484001712	0.11273486430062629	0.011028030852281163	2	77	34.0	48.0	5.0	4.0
1	480	PRDM1	0.037578288100208766	0.00029262497707043087	0.050104384133611686	0.004647059337357291	5	53	99.0	143.0	8.0	19.0
1	480	CEBPA	0.08559498956158663	0.0008866100051536936	0.16283924843423797	0.01346074894523982	3	70	19.0	4.0	3.0	3.0
1	480	ISL1	0.07724425887265135	0.0007555838960176797	0.08768267223382045	0.003629423223067583	2	77	123.0	85.0	7.0	9.0
1	480	PRRX1	0.09185803757828809	0.0005852499541408617	0.12734864300626303	0.004489828006394074	3	70	102.0	27.0	8.0	1.0
1	480	TCF3	0.058455114822546964	0.0003799757164944401	0.13152400835073066	0.007983857583354443	5	53	62.0	22.0	4.0	7.0
1	471	OTX2	0.07659574468085106	0.00029487819262350855	0.1127659574468085	0.010216395227509866	2	70	34.0	35.0	18.0	7.0
1	471	PRDM1	0.04042553191489362	0.00048541487093408335	0.04893617021276596	0.004364197250827927	5	60	109.0	139.0	8.0	18.0
1	471	CEBPA	0.08085106382978724	0.0008528784648187633	0.1574468085106383	0.0190582044186363	3	70	7.0	3.0	2.0	4.0
1	471	ISL1	0.06808510638297872	0.0003447806559905639	0.08085106382978724	0.004055709295467949	2	70	112.0	86.0	14.0	11.0
1	471	PRRX1	0.08936170212765958	0.0008574150523975864	0.1276595744680851	0.007140588849067731	3	70	71.0	19.0	1.0	1.0
1	471	TCF3	0.06382978723404255	0.0006895613119811278	0.12553191489361704	0.01176337159188858	5	60	28.0	22.0	3.0	7.0
1	464	OTX2	0.07775377969762419	0.0003459463502660047	0.10583153347732183	0.009139528577973502	3	70	44.0	37.0	17.0	5.0
1	464	PRDM1	0.038876889848812095	0.0004955447720026554	0.047516198704103674	0.004371078885117762	5	55	102.0	134.0	7.0	16.0
1	464	CEBPA	0.0734341252699784	0.0005282694267575476	0.14038876889848814	0.017905061101605377	2	75	10.0	6.0	16.0	9.0
1	464	ISL1	0.06263498920086394	0.00045347021588922233	0.0734341252699784	0.004857273755761876	3	70	96.0	86.0	10.0	13.0
1	464	PRRX1	0.09287257019438445	0.0012949613381578824	0.12311015118790497	0.010883285181341337	2	75	35.0	16.0	1.0	1.0
1	464	TCF3	0.05183585313174946	0.000504894673361196	0.10799136069114472	0.012098772357951624	5	55	27.0	32.0	6.0	9.0
1	452	OTX2	0.082039911308204	0.000497659522049766	0.10199556541019955	0.009770879526977088	3	70	51.0	33.0	13.0	5.0
1	452	PRDM1	0.03325942350332594	0.0002463661000246366	0.04212860310421286	0.0032668144863266814	5	48	116.0	136.0	14.0	16.0
1	452	CEBPA	0.07982261640798226	0.0006750431140675043	0.13968957871396895	0.02328159645232816	2	74	5.0	3.0	8.0	4.0
1	452	ISL1	0.06208425720620843	0.00048287755604828776	0.06873614190687362	0.0059522049765952205	3	70	77.0	85.0	14.0	12.0
