,community
ITGA6,0
PSME1,0
CEMIP2,5
ATF7IP,5
CHRNA1,0
RBM24,0
RASGEF1B,5
GNB3,5
RSAD2,0
POR,0
PRDM1,5
ST6GALNAC5,1
B4GALNT4,1
ENO3,4
INAVA,5
GNG5,0
OPRD1,0
ISL1,1
RGS12,5
MAP2,3
SYT4,3
ATP1A3,3
MTURN,3
PTPRJ,0
EEF1A2,3
ANK2,3
DPYSL5,3
ADGRA1,1
PEG10,1
PENK,5
IGDCC3,5
HMOX1,0
OCIAD2,1
GRIA4,1
BCL2L1,0
ROBO1,5
SOGA3,3
NEFL,3
DCX,2
PLEKHD1,4
DOCK11,4
RAB15,2
REEP2,2
TRIM2,3
LRRN1,3
CTSB,0
ADGRE5,0
IGF2BP2,4
KIAA1958,3
NEFH,1
FNBP1L,3
CKB,4
APLP2,0
SCN4A,5
LMX1A,5
FSD1,1
JPT1,1
IGFBPL1,1
SLC7A1,0
NRBP1,0
CELSR2,3
XRCC5,0
KIF1C,0
SCRN1,1
KIF5A,2
IGSF8,0
RNF213,0
KIF21B,3
SYT11,2
SLAIN1,1
B4GALT5,1
KLF7,3
FNDC5,5
CLCN5,1
KANK4,1
DAZL,0
SOX8,0
CD81,0
IFI44L,0
YWHAG,3
TRIM72,3
RGS2,0
TNNT2,0
SEPTIN4,0
TACC1,1
TMEM35A,0
RASSF3,0
PSME4,4
SQSTM1,0
NRP2,0
SPTLC2,3
SUSD6,0
DAAM1,2
LARP1,1
ST18,3
ZC3H12C,1
ADAMTS17,1
ACLY,0
ZNFX1,0
BST2,0
PHGDH,4
INSIG1,0
RARRES2,0
ETV5,3
HIVEP1,2
LDLR,0
NCEH1,4
CDH15,4
DGKB,3
LRP8,1
OLFML2A,0
SCD5,0
GRB2,1
EPHA4,5
CHRNB4,1
TCF3,5
TRIO,4
OTX2,1
PI15,3
SPOCK2,2
CDH2,1
RIMS3,1
GNB1,2
SPRY4,2
KLF6,2
LGALS3BP,0
TNFRSF21,1
PHEX,1
ATP5MC3,1
NARF,1
SNN,3
TRIM25,0
CCDC136,5
NDRG1,0
ATP9A,3
SERPINF1,0
NINJ1,0
RMST,2
GABRD,2
LRRC8D,4
AMER1,2
GRK2,0
ASXL3,3
SEMA6A,1
TUBA1A,1
KPNA2,4
MFNG,1
SYN2,1
SNX18,1
CDKN2B,5
ACTR1A,4
NPTX1,1
SHANK1,3
MAPRE1,1
CLTC,2
RPN1,2
SMARCC1,5
NPHS1,4
SPTBN1,2
DBNDD1,1
H2BC21,5
CILP2,5
PGM2L1,2
TRIB2,1
E2F3,1
HSPA12A,1
NOS1,5
WHRN,5
SDCBP,0
LAMP2,0
CAB39L,5
ARFGEF3,2
KCNH2,3
PGAP6,0
VGLL4,4
RPN2,0
SYBU,3
MX2,0
RBM38,4
CACNA1H,1
MAFG,1
ATP6V0D1,1
VASP,5
SSTR2,0
PDE7A,4
HIPK2,1
ALPK3,1
MAP1B,3
NRG1,3
IFFO2,1
CRACD,3
CDV3,1
JAG2,1
TNKS2,0
STRADB,0
DHCR7,2
DYNC1H1,2
GADD45A,0
ABLIM1,3
LAMP1,0
SRL,3
SLC36A1,5
IFIH1,0
TMEM130,3
KAT6A,4
PRKCD,4
PDLIM5,0
SEC13,2
ULK1,0
AKAP13,3
DOCK3,2
ARCN1,2
FAM20B,4
CCT8,4
SPARCL1,2
TP53INP2,0
GABARAPL1,2
HELZ2,0
FAM171B,1
