treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
AMn	1	0.2	positive	711	15970	1.2658391631557828	225	2.39229501362738	37.0	12.815036887730127	0.08112520708482805	-4.164815955872732	0.04298967662941308	
AMn	1	0.202	positive	708	15686	1.2550856943176258	225	2.382719841857876	35.0	15.905597873487098	0.03877335415498078	-3.9603190953558016	0.04791718962484899	
AMn	1	0.20400000000000001	positive	708	15416	1.286692009635794	233	2.3832412279213386	35.0	15.583773117795939	0.04084286945174842	-3.7782643792462203	0.05428250792851699	
AMn	1	0.20600000000000002	positive	705	15148	1.276724054418533	232	2.325073510995567	27.0	32.64257681208795	0.000991485543150401	-4.269924714845882	0.03951275220604318	
AMn	1	0.20800000000000002	positive	704	14862	1.2801558814346807	234	2.3965267830831665	35.0	15.578121464260864	0.036185631200606166	-3.3181439490313593	0.07091730519960203	
AMn	1	0.21000000000000002	positive	703	14632	1.2581064700214637	233	2.3435977378536914	28.0	29.28537184232821	0.0015902973657688354	-3.6595695846683443	0.05558775319357884	
AMn	1	0.21200000000000002	positive	701	14349	1.2647601316065675	234	2.326109172140834	27.0	28.823185278669257	0.002042098502718294	-4.136516455115493	0.040657541763055687	
AMn	1	0.21400000000000002	positive	700	14093	1.236644269416474	235	2.3262645493303094	26.0	32.17112517100982	0.0008522897769572739	-3.8833647590639595	0.04666391517141262	
AMn	1	0.21600000000000003	positive	698	13851	1.2492946711684536	235	2.3341785086333564	26.0	32.45883210122379	0.0006774956269908897	-3.533579297427776	0.056976358542401094	
AMn	1	0.21800000000000003	positive	697	13590	1.2490351844676266	242	2.321907184519903	25.0	33.43046227178827	0.0005750313335283423	-3.76573046110098	0.048631234722384564	
AMn	1	0.22	positive	697	13363	1.2274576114819156	245	2.2980751108993567	24.0	31.917840043448287	0.0011280582859370034	-4.650924204267501	0.02801461805600722	
AMn	1	0.222	positive	697	13126	1.2386975743429096	245	2.3035308299324226	24.0	31.904317425710694	0.0010168116653901022	-4.264256951345563	0.03593327410329069	
AMn	1	0.224	positive	692	12903	1.2295854619583737	240	2.2945693350720315	23.0	34.25176930022579	0.000624393852975116	-4.3327396815724715	0.0344673304421505	
AMn	1	0.226	positive	692	12695	1.2366638889763897	246	2.308101801861905	23.0	36.04864827648785	0.00032496153238255305	-3.6669450112646196	0.05218741123308489	
AMn	1	0.228	positive	690	12481	1.2479767896194258	236	2.30371381383578	23.0	33.585858139170185	0.0006416946058991239	-3.8798333258325135	0.046111706707512204	
AMn	1	0.23	positive	689	12233	1.2393150590351507	213	2.3169074498768736	23.0	35.067944835628715	0.0003296320675558899	-3.2649360107181016	0.06619781223788773	
AMn	1	0.232	positive	689	12019	1.24265279429417	222	2.3293938621108827	23.0	36.74424975638575	0.0001598794642835743	-2.7035815833961125	0.0932904102797024	
AMn	1	0.234	positive	687	11798	1.2396082520848355	232	2.3118784146261557	22.0	37.24733625473367	0.0001745558996847201	-3.141504406375457	0.06949454188659686	
AMn	1	0.23600000000000002	positive	685	11584	1.2437808993414792	229	2.288831060876003	20.0	44.01446576443491	5.091119889460055e-05	-3.418217136958593	0.0603218589358391	
AMn	1	0.23800000000000002	positive	682	11350	1.2503743512460654	229	2.2990551556223795	20.0	45.0024584262669	3.131107978359507e-05	-2.8867908054147264	0.08478101327116469	
AMn	1	0.24000000000000002	positive	680	11139	1.2402377825045399	225	2.301975527877315	20.0	43.99885303342685	3.804723160295587e-05	-2.7541258124124877	0.09319921952299322	
AMn	1	0.24200000000000002	positive	678	10941	1.2432773119265499	227	2.3013464576783456	20.0	42.51735264257786	5.0204011995307893e-05	-2.716018772246966	0.09461974459102762	
AMn	1	0.244	positive	674	10749	1.241727636228723	228	2.2768750374032876	19.0	42.97618500384639	6.283798214906456e-05	-3.303684410150529	0.06469551032719897	
AMn	1	0.246	positive	673	10568	1.233057561875454	226	2.2698716591223573	18.0	47.65071069972365	2.4040137833615574e-05	-3.2414409978425773	0.06772803679112312	
AMn	1	0.248	positive	670	10380	1.2307588483689527	227	2.2654591554414383	18.0	45.17600834829871	4.1750946433233845e-05	-3.362163825418647	0.06228800385754416	
AMn	1	0.25	positive	669	10174	1.2171074791679166	234	2.2600592541456055	18.0	42.46962980655753	7.715454681843091e-05	-3.489051362793858	0.05737436630312186	
AMn	1	0.252	positive	669	9981	1.190412771219435	240	2.2764201945838307	19.0	37.80314418506487	0.00015598178810560283	-2.9493769387469806	0.08052059081512501	
AMn	1	0.254	positive	668	9797	1.201132352602636	248	2.307793859299289	21.0	30.788156307121916	0.0005497074061058196	-2.2937494443355515	0.12369794433067076	
AMn	1	0.256	positive	665	9642	1.194315989807421	249	2.2762592483736217	18.0	42.11445690482954	4.9432244930819086e-05	-2.574174879821272	0.10312520548244399	
AMn	1	0.258	positive	664	9509	1.2018990275409691	252	2.2836347929608802	18.0	42.69822345813247	3.515991207887433e-05	-2.299379836289516	0.1222295504704785	
AMn	1	0.26	positive	661	9346	1.2003278874551628	251	2.3032212205779095	18.0	45.23138484896964	1.2898072145486612e-05	-1.7293517298800616	0.17931386337340094	
AMn	1	0.262	positive	661	9169	1.206833749134906	255	2.2948705015085586	18.0	41.78026064544131	3.285999544270671e-05	-1.9921096467573713	0.14762813877402595	
AMn	1	0.264	positive	658	9003	1.216907380186099	257	2.3232223821429008	20.0	33.663180074209706	0.00016710295558777457	-1.5306602595313112	0.20697459051374134	
AMn	1	0.266	positive	654	8816	1.1996945671116892	257	2.3007692117450773	19.0	33.83644765977123	0.00020750605123400018	-1.9521737737440636	0.15095394383583202	
AMn	1	0.268	positive	653	8645	1.2142134140158298	260	2.2823185418848184	17.0	42.32267913605888	2.992413518051464e-05	-1.9724586090398653	0.14838704633233823	
AMn	1	0.27	positive	650	8483	1.19072947405074	259	2.2793295764239083	17.0	40.53858968646322	4.642078942800567e-05	-2.0028134504399926	0.1448177622908909	
AMn	1	0.272	positive	649	8336	1.1982175484499682	263	2.2922513547302867	17.0	41.96280256683767	2.4348152087166887e-05	-1.5964253089949274	0.19188618647752276	
AMn	1	0.274	positive	646	8164	1.1646091450707827	252	2.249292319851472	15.0	47.29642986792894	1.4303592335638816e-05	-2.4036041902874112	0.10932915244072598	
AMn	1	0.276	positive	645	8014	1.1769847305160561	253	2.2513932515025914	15.0	46.7814203545601	1.393621284937578e-05	-2.17339519139382	0.12742637992978595	
AMn	1	0.278	positive	644	7871	1.1755863883549298	254	2.2604703917370825	16.0	39.14741256055288	7.625872191300083e-05	-2.024807496440167	0.14449536349098235	
AMn	1	0.28	positive	640	7726	1.1855573290080375	251	2.257878274825533	15.0	44.95473543697983	1.91516024452875e-05	-1.8812378012917046	0.15980957726848144	
AMn	1	0.28200000000000003	positive	640	7589	1.1561431730018354	254	2.2229722447872025	14.0	44.58656970158168	3.858181336404343e-05	-2.7863076506158446	0.08642515393815586	
AMn	1	0.28400000000000003	positive	637	7433	1.1530945127307337	264	2.2398751440004574	14.0	46.47901880523224	1.8556458060187413e-05	-2.1834855337930463	0.1291677439989279	
AMn	1	0.28600000000000003	positive	635	7311	1.1587975830024158	266	2.2253018333878645	13.0	52.29769923587767	6.368801102378659e-06	-2.2768874085931934	0.12293580047048958	
AMn	1	0.28800000000000003	positive	632	7165	1.1629006542763516	265	2.2306956008591516	13.0	51.79813798301637	5.55834748534001e-06	-2.0539092047851266	0.1408828055978696	
AMn	1	0.29000000000000004	positive	631	7045	1.1644262603498663	269	2.2266045823148093	13.0	49.36614735568243	9.321117342484045e-06	-2.143513853056789	0.13206101349766158	
AMn	1	0.29200000000000004	positive	626	6927	1.163933240599199	259	2.220893676751435	13.0	46.54530671001691	1.9753182786969438e-05	-2.3409848507842757	0.11572668916772068	
AMn	1	0.29400000000000004	positive	623	6793	1.135497273790469	259	2.2083635490171405	12.0	53.177491882518396	5.762028983576229e-06	-2.415322136352972	0.11050690953309383	
