treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Anp	1	0.2	positive	553	17148	1.5950093897367994	196	7.403080080261442	142.0	-4.239683235496917	1.5298355652377983e-11	-10.650131807051077	0.0020360867599143553	
Anp	1	0.202	positive	552	16839	1.6069694684414704	195	7.292700473231638	139.0	-3.864740888376066	3.1989200691623316e-09	-10.191570083505237	0.003571370574064353	
Anp	1	0.20400000000000001	positive	551	16513	1.6272885434512387	196	6.939168758390155	136.0	-4.133025921882429	2.8187572245299615e-12	-13.393974011437162	0.00034436582789952103	
Anp	1	0.20600000000000002	positive	547	16172	1.6188147269853441	193	7.111093115027851	135.0	-3.643204393676068	2.8901363462882046e-10	-11.857371467764953	0.0008191876351884956	
Anp	1	0.20800000000000002	positive	544	15859	1.6305421193910954	193	7.249103995934746	134.0	-3.494386097357603	1.1077756430089267e-10	-11.857726355329461	0.000541423891964216	
Anp	1	0.21000000000000002	positive	543	15588	1.6520751389670805	196	1.9823080195343086	28.0	-73.20571033549224	3.0207118403719405e-20	-64.14178675147708	6.696145232165882e-11	
Anp	1	0.21200000000000002	positive	540	15280	1.6559963072779191	187	1.951353199188112	26.0	-76.7525307487502	4.814369006173027e-21	-67.12305182561664	1.3159467072986109e-11	
Anp	1	0.21400000000000002	positive	540	15022	1.6699734250953935	187	7.556288110508443	129.0	-1.2819929773731062	0.02460661462466799	-7.078564443091107	0.02691415716575098	
Anp	1	0.21600000000000003	positive	535	14726	1.6646647879358683	189	7.231404707041808	126.0	-3.7269827340860924	6.088840361639966e-11	-11.635689435062748	0.0013267967559904385	
Anp	1	0.21800000000000003	positive	534	14459	1.6593717542466986	190	7.388200914795681	125.0	-3.074807669343674	6.682085458969607e-08	-9.362602978526954	0.004453199102889873	
Anp	1	0.22	positive	529	14194	1.6981035314180841	186	7.168807874420621	122.0	-3.6232108208593234	1.0565120882097664e-09	-10.385297165827613	0.00266850988087681	
Anp	1	0.222	positive	529	13954	1.7002275076998186	188	7.411694109414011	121.0	-3.3782370041691485	2.7594405811796786e-08	-8.36448074695428	0.006377329667390957	
Anp	1	0.224	positive	529	13692	1.6989255991195087	190	7.31353244125963	118.0	-3.46508515760068	1.7536070550998021e-07	-7.976005479963234	0.0105576634770775	
Anp	1	0.226	positive	528	13453	1.7096442157185607	192	7.783743593311037	119.0	-0.07496971144153575	0.899903624065456	-3.536040775756967	0.18246995736925287	
Anp	1	0.228	positive	526	13193	1.7262621166435517	192	7.612976801980421	116.0	-2.308724091950105	0.0001380646360465329	-6.336108885090666	0.024674913156689265	
Anp	1	0.23	positive	525	12951	1.7546197417597298	192	7.255163768396985	112.0	-3.3531662664298056	4.4731735530282037e-07	-8.203423380737838	0.00975932472538526	
Anp	1	0.232	positive	522	12680	1.7596067963602842	195	7.726133882981243	113.0	-1.210326120722847	0.047679723562441385	-4.95354683750486	0.08662236023152411	
Anp	1	0.234	positive	519	12431	1.774850686071396	194	7.488473537760684	110.0	-2.790948367081657	9.731731109188248e-06	-7.179327594388773	0.020397480590447197	
Anp	1	0.23600000000000002	positive	517	12191	1.778484403405631	195	7.348349940984135	108.0	-3.167545346247942	2.4861980225602305e-07	-8.53384558211447	0.009557268490336836	
Anp	1	0.23800000000000002	positive	516	11972	1.7996827940551772	197	7.8336571029286945	109.0	-1.5400022389493802	0.006015774887230477	-5.646513046072911	0.0476622475895489	
Anp	1	0.24000000000000002	positive	515	11748	1.8089272362813815	197	7.95237225145572	107.0	0.6645725833415219	0.2546444100580042	-2.641929308080366	0.31558460237289865	
Anp	1	0.24200000000000002	positive	514	11536	1.81333412066335	198	7.828953465462761	105.0	-0.7971221518509668	0.18082703506406828	-3.9271900155637933	0.13108315933608225	
Anp	1	0.244	positive	511	11324	1.843042824525637	180	8.03777966154848	104.0	1.955155100946636	0.0010153243875037864	-0.35620569357182763	0.8779491964737376	
Anp	1	0.246	positive	509	11124	1.8419774201275738	182	7.835993082937184	102.0	-1.4521693502941764	0.01608930044597904	-4.404927094737505	0.08913202491700246	
Anp	1	0.248	positive	508	10921	1.846992079790199	184	7.718911890575831	100.0	-3.196100098966224	1.3255833585968538e-07	-6.265833106837965	0.01611434192901632	
Anp	1	0.25	positive	506	10702	1.8674684013404033	185	8.001035993219983	100.0	-0.5898498256917959	0.32492279603274765	-2.5300294222216793	0.2553230103396271	
Anp	1	0.252	positive	504	10482	1.8715243040874323	184	7.822944208023047	98.0	-1.3382234500887242	0.024655427061055314	-3.9665379605074715	0.11264887325689288	
Anp	1	0.254	positive	503	10277	1.8835530964932279	184	7.7957144658900095	97.0	-1.8423180741093872	0.001583161926573147	-4.5515028525286025	0.07118668597586814	
Anp	1	0.256	positive	500	10073	1.908500136958036	183	8.141734271124875	97.0	1.7979497982896677	0.0012295372040356735	-0.5522504559193444	0.8221054354996605	
Anp	1	0.258	positive	499	9884	1.9132030705127698	171	7.7424811985181075	94.0	-2.5689906666824016	9.850152157190324e-06	-5.915208386571635	0.03995831936133895	
Anp	1	0.26	positive	495	9701	1.922966394342292	168	7.465742878117989	92.0	-2.631466388454706	1.1841608567099314e-05	-6.3049033163887875	0.0340160888927049	
