GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QZ23	TFE3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AEW1|ensembl:ENSMUSP00000076864	9606	Ensembl		F
UniProtKB	A0A024QZ86	TBX2	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001699|InterPro:IPR002070|InterPro:IPR008967|InterPro:IPR018186|InterPro:IPR036960	9606	InterPro		F
UniProtKB	A0A024QZ86	TBX2	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q60707|ensembl:ENSMUSP00000000095	9606	Ensembl		F
UniProtKB	A0A024QZD8	TEAD2	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000818|InterPro:IPR016361	9606	InterPro		F
UniProtKB	A0A024QZD8	TEAD2	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000261553	9606	UniProt		F
UniProtKB	A0A024QZD9	ZNF668	enables	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K2R5|ensembl:ENSMUSP00000056105	9606	Ensembl		F
UniProtKB	A0A024QZE1	IRF3	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR019471|InterPro:IPR019817	9606	InterPro		F
UniProtKB	A0A024QZE2	TEAD2	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000818|InterPro:IPR016361	9606	InterPro		F
UniProtKB	A0A024QZE2	TEAD2	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000261553	9606	UniProt		F
UniProtKB	A0A024QZG3	ATF5	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004827|InterPro:IPR029855	9606	InterPro		F
UniProtKB	A0A024QZZ4	ZNF322A	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BZ89|ensembl:ENSMUSP00000061524	9606	Ensembl		F
UniProtKB	A0A024R087	hCG_36935	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027758	9606	InterPro		F
UniProtKB	A0A024R0L3	POU2F2	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017970	9606	InterPro		F
UniProtKB	A0A024R0L3	POU2F2	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000327|InterPro:IPR000972	9606	InterPro		F
UniProtKB	A0A024R0L4	ERF	enables	GO:0001217	DNA-binding transcription repressor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR032925	9606	InterPro		F
UniProtKB	A0A024R0L4	ERF	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000418	9606	InterPro		F
UniProtKB	A0A024R0P6	FOSB	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000837|InterPro:IPR004827	9606	InterPro		F
UniProtKB	A0A024R0P6	FOSB	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P13346|ensembl:ENSMUSP00000003640	9606	Ensembl		F
UniProtKB	A0A024R0P6	FOSB	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3ZLB7|ensembl:ENSRNOP00000065427	9606	Ensembl		F
UniProtKB	A0A024R0R3	FOXA3	enables	GO:0003700	DNA-binding transcription factor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001766|InterPro:IPR018122|InterPro:IPR030456	9606	InterPro		F
